,,,,Projected,Projected,Previous,Previous,2018,,2017,,2016,,2015,
,27,David Johnson,RB,160.7,22.84,120,-9.600000000000001,250,99.1,7,-120,328,191,174,51
,28,Case Keenum,QB,214.42999999999998,-51.17999999999999,182.3,-79.6,248.2,-24.69999999999999,240,-15,113,-155,44,-241
,29,Eli Manning,QB,222.82000000000002,-42.789999999999985,213.60000000000002,-48.300000000000004,241.3,-31.599999999999966,195,-60,226,-42,288,3
,30,Derek Carr,QB,232.99,-32.62,231.9,-29.999999999999996,241.1,-31.799999999999983,206,-49,270,2,273,-12
,31,Jameis Winston,QB,228.77000000000004,-36.83999999999998,228.9,-33,234.8,-38.099999999999966,204,-51,262,-6,279,-6
,32,Saquon Barkley,RB,90.28,29.919999999999995,0,0,225.7,74.79999999999998,,,,,,
,33,Tyrod Taylor,QB,232.68,-32.92999999999999,242.59999999999997,-19.3,222.7,-50.19999999999999,223,-32,271,3,275,-10
,34,Alvin Kamara,RB,180.84,69.68,139.79999999999998,63.599999999999994,219.1,68.19999999999999,233,106,,,,
,35,Leonard Fournette,RB,165.12,53.96000000000001,116.39999999999999,40.199999999999996,218.8,67.9,194,67,,,,
,36,Dalvin Cook,RB,106.28,-4.88000000000001,32.4,-43.8,211.7,60.79999999999998,54,-73,,,,
,37,Antonio Brown,WR,212.55,87.02000000000001,213.7,88.6,211.5,83.8,211,92,207,75,250,109
,38,Kareem Hunt,RB,178.20000000000002,67.03999999999999,145.2,69,203.5,52.599999999999994,242,115,,,,
,39,Melvin Gordon,RB,208.32999999999998,70.47,208.5,78.89999999999999,202.7,51.79999999999998,230,103,210,73,75,-48
,40,Joe Flacco,QB,199.46,-66.14999999999999,200.79999999999998,-61.1,201.4,-71.49999999999997,185,-70,244,-24,166,-119
,41,LeSean McCoy,RB,205.59,67.73,212.09999999999997,82.5,197.6,46.69999999999999,205,78,248,111,147,24
,42,Julio Jones,WR,183.18,57.64999999999999,175.8,50.7,197.2,69.49999999999999,164,45,179,47,237,96
,43,Devonta Freeman,RB,189.27,51.410000000000004,192.3,62.7,191.8,40.900000000000006,164,37,232,95,243,120
,44,DeAndre Hopkins,WR,190.25,64.72,187.29999999999998,62.199999999999996,187.5,59.8,216,97,119,-13,220,79
,45,Odell Beckham,WR,133.47000000000003,7.940000000000002,112.89999999999999,-12.200000000000001,179.3,51.60000000000001,53,-66,196,64,223,82
,46,Keenan Allen,WR,147.35000000000002,21.820000000000004,117.1,-8.000000000000002,178,50.3,176,57,6,-126,97,-44
,47,A.J. Green,WR,158.96,33.43,146,20.900000000000002,176.9,49.2,152,33,120,-12,188,47
,48,Jerick McKinnon,RB,140.11,2.2500000000000004,114.50000000000001,-15.100000000000001,175.4,24.5,127,0,107,-30,62,-61
,49,Christian McCaffrey,RB,129.68,18.519999999999996,89.39999999999999,13.2,175.2,24.299999999999983,149,22,,,,
,50,Jordan Howard,RB,169.71,38,166.5,49.2,171.9,21,177,50,201,64,,
,51,Royce Freeman,RB,68.12,7.7600000000000025,0,0,170.3,19.400000000000006,,,,,,
,52,Derrius Guice,RB,67.2,6.839999999999998,0,0,168,17.099999999999994,,,,,,
,53,Davante Adams,WR,156.24,30.71,148.6,23.499999999999996,167.1,39.39999999999999,151,32,174,42,58,-83
,54,T.Y. Hilton,WR,149.21,23.680000000000003,141.1,15.999999999999998,166.9,39.2,119,0,185,53,142,1
,55,Joe Mixon,RB,110.80000000000001,-0.3600000000000021,66.6,-9.6,166,15.099999999999994,111,-16,,,,
,56,Rob Gronkowski,TE,149.28,66.19,134.79999999999998,51.1,165.2,82.6,158,76,72,-14,184,97
,57,Derrick Henry,RB,128.54999999999998,-3.160000000000002,102.29999999999998,-15,162.5,11.599999999999994,124,-3,93,-44,,
,58,Sony Michel,RB,64.36,4,0,0,160.9,10,,,,,,
,59,Alex Collins,RB,126.95,-4.760000000000002,96.3,-21,160,9.099999999999994,148,21,25,-112,,
,60,Kenyan Drake,RB,112.21000000000001,-19.5,76.5,-40.8,157.4,6.5,110,-17,35,-102,,
,61,Mike Evans,WR,154.52999999999997,28.999999999999996,156.49999999999997,31.400000000000002,157.2,29.499999999999986,134,15,208,76,137,-4
,62,Adam Thielen,WR,142.13,16.599999999999994,129.5,4.399999999999999,156.2,28.499999999999986,149,30,126,-6,23,-118
,63,Rashaad Penny,RB,62.08,1.7199999999999933,0,0,155.2,4.299999999999983,,,,,,
,64,Tyreek Hill,WR,146.82000000000002,28.340000000000003,139.79999999999998,28.8,151.3,23.60000000000001,164,45,138,6,,
,65,Ronald Jones II,RB,60.36000000000001,0,0,0,150.9,0,,,,,,
,66,Josh Gordon,WR,76.32000000000001,-22.36,24,-47.4,150.8,23.10000000000001,40,-79,,,,
,67,Marshawn Lynch,RB,121.1,3.7899999999999983,93.39999999999999,4.899999999999999,150,-0.9000000000000057,144,17,,,70,-53
,68,Allen Robinson,WR,89.94,-35.59,61.400000000000006,-63.7,147.6,19.89999999999999,2,-117,126,-6,224,83
,69,Chris Boswell,K,59.04,8.12,0,0,147.6,20.299999999999997,,,,,,
,70,Greg Zuerlein,K,59,8.080000000000002,0,0,147.5,20.200000000000003,,,,,,
,71,Jay Ajayi,RB,133.4,-4.4600000000000035,126.6,-3.0000000000000018,147.5,-3.4000000000000057,111,-16,188,51,36,-87
,72,Alshon Jeffery,WR,134.39000000000001,8.86,123.3,-1.8000000000000012,146.6,18.89999999999999,141,22,94,-38,105,-36
,73,Stefon Diggs,WR,133.32,7.790000000000005,122.8,-2.3,146.3,18.60000000000001,134,15,109,-23,97,-44
,74,Stephen Gostkowski,K,58.28,7.359999999999997,0,0,145.7,18.39999999999999,,,,,,
,75,Demaryius Thomas,WR,137.36,11.830000000000002,133.4,8.3,144.9,17.200000000000003,127,8,136,4,164,23
,76,Doug Baldwin,WR,150.81000000000003,25.28,156.5,31.4,144.4,16.700000000000003,148,29,162,30,191,50
,77,Marvin Jones,WR,146.64000000000001,21.109999999999996,145.6,20.5,143.1,15.399999999999991,166,47,117,-15,109,-32
,78,Lamar Miller,RB,152.97000000000003,15.110000000000001,161.3,31.699999999999996,141.3,-9.599999999999994,158,31,160,23,185,62
,79,Matt Bryant,K,56.04,5.119999999999999,0,0,140.1,12.799999999999997,,,,,,
,80,Mark Ingram,RB,181.31,43.45,206.70000000000002,77.1,139.9,-11,220,93,198,61,153,30
,81,Matt Prater,K,55.760000000000005,4.840000000000003,0,0,139.4,12.100000000000009,,,,,,
,82,Brandin Cooks,WR,151.66,26.13,161,35.9,138.9,11.200000000000003,156,37,168,36,170,29
,83,Justin Tucker,K,55.24,4.319999999999999,0,0,138.1,10.799999999999997,,,,,,
,84,Larry Fitzgerald,WR,144.83,19.299999999999997,149.5,24.400000000000002,137.2,9.499999999999986,152,33,137,5,172,31
,85,Chris Hogan,WR,101.75000000000001,-23.78,78.7,-46.400000000000006,137,9.299999999999997,76,-43,91,-41,58,-83
,86,Travis Kelce,TE,141.44,58.349999999999994,143.8,60.1,136.1,53.5,151,69,138,52,118,31
,87,Robbie Gould,K,54.2,3.280000000000001,0,0,135.5,8.200000000000003,,,,,,
,88,Amari Cooper,WR,127.86,2.3300000000000014,125.4,0.3000000000000007,135.4,7.700000000000003,110,-9,151,19,141,0
,89,Harrison Butker,K,53.879999999999995,2.959999999999997,0,0,134.7,7.3999999999999915,,,,,,
,90,Marlon Mack,RB,86.20000000000002,-24.96,49.199999999999996,-27,133.5,-17.400000000000006,82,-45,,,,
,91,Jake Elliott,K,53.32000000000001,2.4000000000000057,0,0,133.3,6.000000000000014,,,,,,
,92,Graham Gano,K,52.64,1.7199999999999989,0,0,131.6,4.299999999999997,,,,,,
,93,JuJu Smith-Schuster,WR,106.24000000000001,7.559999999999997,80.39999999999999,9,131.6,3.8999999999999915,134,15,,,,
,94,Wil Lutz,K,52.36000000000001,1.4400000000000035,0,0,130.9,3.6000000000000085,,,,,,
,95,Zach Ertz,TE,124.89000000000001,41.800000000000004,119.3,35.599999999999994,130.6,48,130,48,106,20,95,8
,96,Isaiah Crowell,RB,129.1,-8.760000000000002,131,1.4000000000000008,130,-20.900000000000006,116,-11,165,28,119,-4
,97,AJ McCarron,QB,51.92000000000001,-57.23999999999999,0,0,129.8,-143.09999999999997,,,,,,
,98,Tevin Coleman,RB,133.93,-3.930000000000008,136.7,7.1,128.7,-22.200000000000017,141,14,160,23,41,-82
,99,Sammy Watkins,WR,110.08000000000001,-15.450000000000001,96.60000000000001,-28.499999999999996,127.7,0,107,-12,55,-77,159,18
,100,Golden Tate,WR,130.05,4.52,131.5,6.4,127.5,-0.20000000000000284,133,14,132,0,121,-20
,101,Daniel Carlson,K,50.92,0,0,0,127.3,0,,,,,,
,102,Emmanuel Sanders,WR,105.5,-20.03,95.8,-29.299999999999997,127,-0.7000000000000028,68,-51,134,2,148,7
,103,Adam Vinatieri,K,50.72,-0.2,0,0,126.8,-0.5,,,,,,
,104,Dion Lewis,RB,126.26000000000002,-11.599999999999998,118.80000000000001,-10.799999999999999,125.9,-25,165,38,38,-99,84,-39
,105,Devin Funchess,WR,117.16000000000001,-8.37,106.79999999999998,-18.3,125.9,-1.7999999999999972,134,15,63,-69,75,-66
,106,Greg Olsen,TE,87.47,4.380000000000001,69.3,-14.399999999999995,125.8,43.2,25,-57,131,45,150,63
,107,Ryan Succop,K,50.24,-0.6800000000000012,0,0,125.6,-1.7000000000000028,,,,,,
,108,Pierre Garcon,WR,93.9,-31.630000000000003,78.19999999999999,-46.9,124.5,-3.200000000000003,50,-69,122,-10,116,-25
,109,Mason Crosby,K,49.2,-1.7199999999999989,0,0,123,-4.299999999999997,,,,,,
,110,Jaguars D/ST,D/ST,49.120000000000005,10,0,0,122.8,25,,,,,,
,111,Dustin Hopkins,K,49,-1.919999999999999,0,0,122.5,-4.799999999999997,,,,,,
,112,Josh Lambo,K,49,-1.919999999999999,0,0,122.5,-4.799999999999997,,,,,,
,113,Chandler Catanzaro,K,49,-1.919999999999999,0,0,122.5,-4.799999999999997,,,,,,
,114,Sam Bradford,QB,102.96000000000001,-162.64999999999998,102.6,-159.29999999999998,122.4,-150.49999999999997,27,-228,223,-45,195,-90
,115,Corey Davis,WR,63.32,-35.36000000000001,21.599999999999998,-49.8,122.3,-5.400000000000006,36,-83,,,,
,116,Delanie Walker,TE,115.03000000000002,31.940000000000005,112.5,28.8,121.7,39.10000000000001,101,19,123,37,150,63
,117,Jarvis Landry,WR,136.02,10.49,145.8,20.7,120.8,-6.900000000000006,148,29,137,5,159,18
,118,Kelvin Benjamin,WR,103.02000000000001,-15.460000000000003,92.39999999999999,-18.599999999999998,120.3,-7.400000000000006,87,-32,134,2,,
,119,Robert Woods,WR,104.51000000000002,-21.02,91.69999999999999,-33.4,119.9,-7.799999999999997,107,-12,68,-64,71,-70
,120,Marquise Goodwin,WR,102.41000000000001,-23.12,86.3,-38.8,119.9,-7.799999999999997,113,-6,61,-71,2,-139
,121,Sebastian Janikowski,K,47.84,-3.0800000000000014,0,0,119.6,-7.700000000000003,,,,,,
,122,Kenny Stills,WR,116.47,-9.060000000000002,114.50000000000001,-10.600000000000001,118.8,-8.900000000000006,117,-2,127,-5,62,-79
,123,Michael Crabtree,WR,123.1,-2.4300000000000015,128.6,3.5,118.5,-9.200000000000003,114,-5,152,20,146,5
,124,Randall Cobb,WR,103.76000000000002,-21.770000000000003,94.6,-30.499999999999996,117.9,-9.799999999999997,93,-26,88,-44,124,-17
,125,Dan Bailey,K,47.080000000000005,-3.839999999999998,0,0,117.7,-9.599999999999994,,,,,,
,126,Will Fuller,WR,93.09,-25.39,74.69999999999999,-36.3,117.6,-10.100000000000009,87,-32,75,-57,,
,127,Kerryon Johnson,RB,46.72,-13.640000000000004,0,0,116.8,-34.10000000000001,,,,,,
,128,Sterling Shepard,WR,98.88999999999999,-19.590000000000003,87.3,-23.7,116.6,-11.100000000000009,86,-33,119,-13,,
,129,Cody Parkey,K,46.64,-4.280000000000001,0,0,116.6,-10.700000000000003,,,,,,
,130,Stephen Hauschka,K,46.480000000000004,-4.439999999999998,0,0,116.2,-11.099999999999994,,,,,,
,131,Zane Gonzalez,K,46.400000000000006,-4.519999999999999,0,0,116,-11.299999999999997,,,,,,
,132,Giorgio Tavecchio,K,46.36000000000001,-4.559999999999997,0,0,115.9,-11.399999999999991,,,,,,
,133,Aldrick Rosas,K,46.2,-4.719999999999999,0,0,115.5,-11.799999999999997,,,,,,
,134,Randy Bullock,K,46.04,-4.880000000000002,0,0,115.1,-12.200000000000003,,,,,,
,135,DeSean Jackson,WR,105.66000000000001,-19.87,100.8,-24.3,114.9,-12.799999999999997,93,-26,125,-7,75,-66
,136,Josh Rosen,QB,45.64,-63.519999999999996,0,0,114.1,-158.79999999999998,,,,,,
,137,Brandon McManus,K,45.6,-5.319999999999999,0,0,114,-13.299999999999997,,,,,,
,138,Caleb Sturgis,K,45.56,-5.359999999999997,0,0,113.9,-13.399999999999991,,,,,,
,139,DeVante Parker,WR,94.15,-31.380000000000003,82.5,-42.6,113.5,-14.200000000000003,75,-44,102,-30,69,-72
,140,Robby Anderson,WR,111.95,-6.530000000000001,105.29999999999998,-5.699999999999999,113.5,-14.200000000000003,139,20,73,-59,,
,141,Cooper Kupp,WR,91.36000000000001,-7.3199999999999985,69,-2.4,113.4,-14.299999999999997,115,-4,,,,
,142,Eagles D/ST,D/ST,45.28,6.160000000000003,0,0,113.2,15.400000000000006,,,,,,
,143,Rishard Matthews,WR,114.14,-11.390000000000004,116.79999999999998,-8.3,113.1,-14.600000000000009,105,-14,149,17,91,-50
,144,Jamison Crowder,WR,105.34,-20.190000000000005,101.4,-23.700000000000003,113.1,-14.600000000000009,94,-25,125,-7,75,-66
,145,Ka'imi Fairbairn,K,45.120000000000005,-5.800000000000001,0,0,112.8,-14.5,,,,,,
,146,Josh McCown,QB,142.48000000000005,-123.13000000000001,153.39999999999998,-108.5,112.7,-160.2,207,-48,52,-216,136,-149
,147,Evan Engram,TE,89.03999999999999,23.200000000000003,66,16.8,112.6,30,110,28,,,,
,148,Phil Dawson,K,44.800000000000004,-6.119999999999999,0,0,112,-15.299999999999997,,,,,,
,149,Josh Doctson,WR,79.69,-38.790000000000006,53.1,-57.9,111.6,-16.10000000000001,85,-34,7,-125,,
,150,Jimmy Graham,TE,113.35,30.26,114.29999999999998,30.599999999999998,111.5,28.900000000000006,116,34,124,38,75,-12
,151,Chris Thompson,RB,107.21000000000001,-30.65,103.3,-26.299999999999997,110.9,-40,112,-15,101,-36,58,-65
,152,Jason Sanders,K,43.44,-7.480000000000001,0,0,108.6,-18.700000000000003,,,,,,
,153,Rams D/ST,D/ST,43.400000000000006,4.280000000000001,0,0,108.5,10.700000000000003,,,,,,
,154,Kenny Golladay,WR,71,-27.68,41.4,-30,108.5,-19.200000000000003,69,-50,,,,
,155,Jordy Nelson,WR,108.8,-9.680000000000001,114,3,108,-19.700000000000003,86,-33,208,76,,
,156,Cairo Santos,K,43.2,-7.719999999999999,0,0,108,-19.299999999999997,,,,,,
,157,Patriots D/ST,D/ST,43.160000000000004,4.040000000000004,0,0,107.9,10.100000000000009,,,,,,
,158,Duke Johnson,RB,118.72000000000003,-19.140000000000004,122.8,-6.799999999999999,107.8,-43.10000000000001,142,15,91,-46,103,-20
,159,Ravens D/ST,D/ST,43.120000000000005,4,0,0,107.8,10,,,,,,
,160,Marqise Lee,WR,97.68,-27.85,90.8,-34.3,107.7,-20,92,-27,109,-23,29,-112
,161,Mohamed Sanu,WR,102.25000000000001,-23.280000000000005,97.10000000000001,-28,107.5,-20.200000000000003,107,-12,90,-42,59,-82
,162,Jamaal Williams,RB,90.16000000000001,-21.000000000000004,70.8,-5.3999999999999995,107.4,-43.5,118,-9,,,,
,163,Nelson Agholor,WR,102.36,-23.169999999999998,94.39999999999999,-30.700000000000003,106.4,-21.299999999999997,126,7,52,-80,32,-109
,164,Vikings D/ST,D/ST,42.400000000000006,3.280000000000001,0,0,106,8.200000000000003,,,,,,
,165,Texans D/ST,D/ST,42.28,3.1600000000000024,0,0,105.7,7.900000000000006,,,,,,
,166,Jordan Reed,TE,79.03999999999999,-4.050000000000001,67,-16.7,105.6,23,33,-49,105,19,157,70
,167,Tarik Cohen,RB,42.080000000000005,-18.28,0,0,105.2,-45.7,,,,,,
,168,Kyle Rudolph,TE,105.44000000000001,22.35,107,23.3,104.6,22,101,19,128,42,80,-7
,169,Broncos D/ST,D/ST,41.6,2.4800000000000013,0,0,104,6.200000000000003,,,,,,
,170,Cardinals D/ST,D/ST,41.400000000000006,2.280000000000001,0,0,103.5,5.700000000000003,,,,,,
,171,Allen Hurns,WR,83.97000000000001,-41.56,73.3,-51.8,102.8,-24.900000000000006,62,-57,66,-66,163,22
,172,Titans D/ST,D/ST,40.88,1.7600000000000025,0,0,102.2,4.400000000000006,,,,,,
,173,Chargers D/ST,D/ST,40.760000000000005,1.6400000000000035,0,0,101.9,4.1000000000000085,,,,,,
,174,Tyler Lockett,WR,86.91000000000001,-38.620000000000005,78.89999999999999,-46.199999999999996,100.4,-27.299999999999997,73,-46,83,-49,102,-39
,175,Julian Edelman,WR,65.16,-12.77,50.800000000000004,-2.9000000000000004,99.4,-28.299999999999997,,,132,0,112,-29
,176,Rex Burkhead,RB,88.86999999999999,-48.99000000000001,79.10000000000001,-50.49999999999999,98.3,-52.60000000000001,100,-27,59,-78,14,-109
,177,Panthers D/ST,D/ST,39.120000000000005,0,0,0,97.8,0,,,,,,
,178,Jack Doyle,TE,89.03000000000002,5.940000000000004,81.7,-2.000000000000001,97.7,15.100000000000009,91,9,86,0,13,-74
,179,C.J. Anderson,RB,116.49000000000001,-21.370000000000008,125.9,-3.7,97.1,-53.80000000000001,147,20,87,-50,116,-7
,180,Martavis Bryant,WR,77.2,-28.530000000000005,61.8,-23.7,95,-32.7,83,-36,,,120,-21
,181,Ty Montgomery,RB,81.42,-56.44000000000001,73.2,-56.4,94.8,-56.10000000000001,69,-58,97,-40,27,-96
,182,Devontae Booker,RB,79,-52.71000000000001,70.2,-47.1,94.5,-56.400000000000006,61,-66,112,-25,,
,183,Sam Darnold,QB,37.52,-71.63999999999999,0,0,93.8,-179.09999999999997,,,,,,
,184,Paul Richardson,WR,86.05,-39.480000000000004,75.7,-49.4,93.5,-34.2,108,-11,35,-97,4,-137
,185,Carlos Hyde,RB,135.41,-2.45,161.5,31.899999999999995,92.9,-58,175,48,165,28,70,-53
,186,Lions D/ST,D/ST,36.88,-2.239999999999998,0,0,92.2,-5.599999999999994,,,,,,
,187,Cameron Meredith,WR,54.43,-23.5,35.1,-18.6,92.2,-35.5,,,113,-19,12,-129
,188,Steelers D/ST,D/ST,36.68,-2.4399999999999977,0,0,91.7,-6.099999999999994,,,,,,
,189,Redskins D/ST,D/ST,36.4,-2.719999999999999,0,0,91,-6.799999999999997,,,,,,
,190,Jordan Matthews,WR,71.28,-54.25000000000001,64.4,-60.699999999999996,89.7,-38,32,-87,102,-30,146,5
,191,Nick Chubb,RB,35.44,-24.920000000000005,0,0,88.6,-62.30000000000001,,,,,,
,192,Bears D/ST,D/ST,35.36000000000001,-3.7599999999999967,0,0,88.4,-9.399999999999991,,,,,,
,193,Bills D/ST,D/ST,34.64,-4.480000000000001,0,0,86.6,-11.200000000000003,,,,,,
,194,Ted Ginn,WR,100.11000000000001,-25.42,109.7,-15.399999999999999,86.4,-41.3,107,-12,105,-27,140,-1
,195,Saints D/ST,D/ST,34.36000000000001,-4.759999999999997,0,0,85.9,-11.899999999999991,,,,,,
,196,Anthony Miller,WR,34.36000000000001,-16.72,0,0,85.9,-41.8,,,,,,
,197,Dolphins D/ST,D/ST,34.36000000000001,-4.759999999999997,0,0,85.9,-11.899999999999991,,,,,,
,198,Cowboys D/ST,D/ST,34.36000000000001,-4.759999999999997,0,0,85.9,-11.899999999999991,,,,,,
,199,Doug Martin,RB,81.67,-56.19000000000001,81.7,-47.9,85.3,-65.60000000000001,67,-60,72,-65,199,76
,200,Packers D/ST,D/ST,33.92,-5.2,0,0,84.8,-13,,,,,,
,201,Bilal Powell,RB,107.97,-29.890000000000004,123.7,-5.9,84.8,-66.10000000000001,122,-5,139,2,88,-35
,202,James White,RB,84.83000000000001,-53.03000000000001,86.3,-43.3,84.7,-66.2,78,-49,104,-33,83,-40
,203,Buccaneers D/ST,D/ST,33.68,-5.439999999999998,0,0,84.2,-13.599999999999994,,,,,,
,204,Giovani Bernard,RB,96.08999999999999,-41.77,103.49999999999999,-26.1,83.6,-67.30000000000001,109,-18,83,-54,132,9
,205,Falcons D/ST,D/ST,33.32,-5.800000000000001,0,0,83.3,-14.5,,,,,,
,206,Tyrell Williams,WR,94.19000000000001,-31.340000000000007,102.9,-22.2,83.1,-44.60000000000001,95,-24,148,16,15,-126
,207,Terrance Williams,WR,75.29,-50.24,71.7,-53.39999999999999,83.1,-44.60000000000001,62,-57,81,-51,102,-39
,208,Calvin Ridley,WR,33.2,-17.880000000000003,0,0,83,-44.7,,,,,,
,209,Charles Clay,TE,75.8,-7.289999999999998,71.6,-12.1,83,0.4000000000000057,68,-14,79,-7,71,-16
,210,Latavius Murray,RB,124.77,-13.090000000000003,154.70000000000002,25.1,82.8,-68.10000000000001,143,16,175,38,164,41
,211,David Njoku,TE,58.24,-7.6000000000000005,37.8,-11.4,82.6,0,63,-19,,,,
,212,Mike Wallace,WR,95.25,-30.28,104.69999999999999,-20.4,82.5,-45.2,99,-20,131,-1,60,-81
,213,Chiefs D/ST,D/ST,32.760000000000005,-6.359999999999997,0,0,81.9,-15.899999999999991,,,,,,
,214,Theo Riddick,RB,94.3,-43.56000000000001,103.19999999999999,-26.4,81.5,-69.4,101,-26,109,-28,99,-24
,215,Matt Breida,RB,65.76,-45.400000000000006,49.8,-26.4,81.4,-69.5,83,-44,,,,
,216,Raiders D/ST,D/ST,32.36000000000001,-6.759999999999997,0,0,80.9,-16.89999999999999,,,,,,
,217,Corey Clement,RB,65.88,-45.28,50.4,-25.8,80.7,-70.2,84,-43,,,,
,218,Aaron Jones,RB,60.68000000000001,-50.480000000000004,42.6,-33.6,80.7,-70.2,71,-56,,,,
,219,LeGarrette Blount,RB,111.87,-25.990000000000006,139.5,9.9,80.3,-70.60000000000001,100,-27,226,89,117,-6
,220,Kenneth Dixon,RB,42.6,-38.31,21.599999999999998,-19.5,79.5,-71.4,,,72,-65,,
,221,Brandon LaFell,WR,81.89999999999999,-43.63000000000001,85.60000000000001,-39.5,79.5,-48.2,73,-46,122,-10,52,-89
,222,Trey Burton,TE,60.62,-22.47,46.39999999999999,-37.300000000000004,79.3,-3.299999999999997,57,-25,39,-47,5,-82
,223,Jared Cook,TE,71.9,-11.189999999999998,64.8,-18.9,79,-3.5999999999999943,79,-3,42,-44,48,-39
,224,Vance McDonald,TE,53.519999999999996,-29.57,39,-44.699999999999996,78.8,-3.799999999999997,25,-57,63,-23,51,-36
,225,Seahawks D/ST,D/ST,31.360000000000003,-7.759999999999997,0,0,78.4,-19.39999999999999,,,,,,
,226,George Kittle,TE,56.68000000000001,-9.159999999999997,38.4,-10.799999999999999,77.7,-4.8999999999999915,64,-18,,,,
,227,Browns D/ST,D/ST,31.04,-8.080000000000002,0,0,77.6,-20.200000000000003,,,,,,
,228,Bengals D/ST,D/ST,31.04,-8.080000000000002,0,0,77.6,-20.200000000000003,,,,,,
,229,Zay Jones,WR,48.36000000000001,-50.32,26.4,-45,76.9,-50.8,44,-75,,,,
,230,Willie Snead,WR,57.16,-68.37,51.800000000000004,-73.3,76.4,-51.3,7,-112,120,-12,116,-25
,231,Travis Benjamin,WR,85.71000000000001,-39.82,92.3,-32.8,76.4,-51.3,90,-29,85,-47,128,-13
,232,James Washington,WR,30.52,-20.560000000000002,0,0,76.3,-51.400000000000006,,,,,,
,233,Donte Moncrief,WR,67.12,-58.41000000000001,63.4,-61.7,75.8,-51.900000000000006,51,-68,73,-59,109,-32
,234,D.J. Moore,WR,30.080000000000002,-21,0,0,75.2,-52.5,,,,,,
,235,Austin Hooper,TE,65.49,-13.25,56.7,-18.299999999999997,75.1,-7.5,71,-11,47,-39,,
,236,Benjamin Watson,TE,30.04,-3,0,0,75.1,-7.5,,,,,,
,237,Eric Ebron,TE,78.21000000000001,-4.879999999999996,80.7,-3,74.9,-7.699999999999989,79,-3,83,-3,84,-3
