,,,,Projected,Projected,Previous,Previous,2018,,2017,,2016,,2015,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,1,Tom Brady,QB,302.19,36.58000000000003,290.29999999999995,28.4,318.6,45.700000000000045,296,41,261,-7,344,59
,2,Aaron Rodgers,QB,252.59000000000003,-13.019999999999989,225.5,-36.4,316.1,43.200000000000045,134,-121,382,114,305,20
,3,Cam Newton,QB,302.95,37.34,298.9,37,308,35.10000000000002,303,48,260,-8,391,106
,4,Carson Wentz,QB,267.75,16.390000000000015,235.5,2.0999999999999996,304,31.100000000000023,284,29,217,-51,,
,5,Russell Wilson,QB,316.85999999999996,51.25,327.79999999999995,65.9,293.9,21,354,99,270,2,344,59
,6,Andrew Luck,QB,168.19000000000003,4.580000000000017,106.3,-2.6000000000000014,287.6,14.700000000000045,,,310,42,133,-152
,7,Alex Smith,QB,280.30999999999995,14.700000000000001,274.5,12.599999999999998,282.9,10,299,44,226,-42,273,-12
,8,Matthew Stafford,QB,279.50000000000006,13.89000000000001,280.59999999999997,18.7,278.5,5.600000000000023,278,23,282,14,292,7
,9,Deshaun Watson,QB,180.32,-30.83999999999999,103.8,-49.199999999999996,277.8,4.900000000000034,173,-82,,,,
,10,Kirk Cousins,QB,282.77,17.160000000000014,288.09999999999997,26.2,277.3,4.400000000000034,278,23,306,38,295,10
,11,Ben Roethlisberger,QB,267.40000000000003,1.7900000000000094,260.99999999999994,-0.9000000000000004,276.5,3.6000000000000227,263,8,266,-2,234,-51
,12,Drew Brees,QB,280.06,14.45,289.2,27.3,272.9,0,263,8,336,68,306,21
,13,Le'Veon Bell,RB,253.37000000000003,115.51,236.7,107.10000000000001,272.8,121.9,259,132,242,105,87,-36
,14,Matt Ryan,QB,266.17,0.560000000000012,268.1,6.1999999999999975,272.8,-0.0999999999999659,230,-25,355,87,236,-49
,15,Patrick Mahomes,QB,112.88,-98.28,6,-147,272.2,-0.6999999999999886,10,-245,,,,
,16,Philip Rivers,QB,270.19,4.580000000000019,270.7,8.799999999999999,269.1,-3.7999999999999545,272,17,263,-5,286,1
,17,Marcus Mariota,QB,243.94,-21.669999999999984,229.8,-32.099999999999994,269.1,-3.7999999999999545,214,-41,268,0,210,-75
,18,Jimmy Garoppolo,QB,145.41,-105.94999999999999,62.699999999999996,-170.7,263.4,-9.5,87,-168,35,-233,null,
,19,Mitchell Trubisky,QB,105.24000000000001,-3.919999999999982,0,0,263.1,-9.799999999999955,,,,,,
,20,Todd Gurley,RB,265.54,127.68000000000002,256.8,127.19999999999999,263.1,112.20000000000002,319,192,155,18,189,66
,21,Jared Goff,QB,213.99,-37.36999999999998,168.9,-64.5,260.1,-12.799999999999955,255,0,53,-215,,
,22,Andy Dalton,QB,237.63,-27.979999999999997,229.29999999999998,-32.6,254.7,-18.19999999999999,211,-44,261,-7,244,-41
,23,Ryan Tannehill,QB,143.43,-20.179999999999996,83.5,-25.400000000000002,254.2,-18.69999999999999,,,192,-76,259,-26
,24,Dak Prescott,QB,252.19,0.8300000000000072,248.09999999999997,14.7,253.6,-19.299999999999983,267,12,293,25,,
,25,Blake Bortles,QB,258.74,-6.869999999999993,264.59999999999997,2.7000000000000006,253.1,-19.799999999999983,252,-3,270,2,324,39
,26,Ezekiel Elliott,RB,215.58999999999997,83.88,194.1,76.8,252.1,101.19999999999999,177,50,293,156,,
