,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,63,Terrance West,RB,121.97,-14.13,98.7,-29.5,147.3,0.3,137,5,21,-102,102,-19
,64,Ameer Abdullah,RB,81.4,-48.65,40.8,-75.3,147,0,22,-110,92,-31,,
,65,Amari Cooper,WR,140.31,12.56,132.9,11.4,146.9,12.4,151,19,141,0,,
,66,DeAndre Hopkins,WR,146.75,12.25,152.9,17.9,146,11.5,119,-13,220,79,155,20
,67,Dez Bryant,WR,131.98,-2.52,120.6,-14.4,145.7,11.2,134,2,58,-83,228,93
,68,Brandin Cooks,WR,155.2,20.7,160.4,25.4,145.5,11,168,36,170,29,86,-49
,69,Greg Olsen,TE,139.87,49.36,137.3,48.8,145.3,51.9,131,42,150,63,137,47
,70,Justin Tucker,K,58,8.12,0,0,145,20.3,,,,,,
,71,Deshaun Watson,QB,57.72,-48.84,0,0,144.3,-122.1,,,,,,
,72,Demaryius Thomas,WR,147.7,13.2,153.8,18.8,143,8.5,136,4,164,23,230,95
,73,Davante Adams,WR,138.61,4.11,128.1,-6.9,142.9,8.4,174,42,58,-83,63,-72
,74,Emmanuel Sanders,WR,142.89,8.39,144.9,9.9,142.6,8.1,134,2,148,7,201,66
,75,Michael Crabtree,WR,143.88,9.38,144.4,9.4,141.2,6.7,152,20,146,5,94,-41
,76,Alshon Jeffery,WR,118.16,-16.34,105.6,-29.4,139.9,5.4,94,-38,105,-36,177,42
,77,Martavis Bryant,WR,79.12,-2.58,46.4,-9.4,139.8,5.3,,,120,-21,104,-31
,78,Allen Robinson,WR,143.21,8.71,149.7,14.7,139.4,4.9,126,-6,224,83,69,-66
,79,Robert Kelley,RB,104.04,-7.56,72.6,-6.6,139.1,-7.9,121,-11,,,,
,80,Matt Bryant,K,55.12,5.24,0,0,137.8,13.1,,,,,,
,81,Kelvin Benjamin,WR,116.15,2.8,95.9,3.2,137,2.5,134,2,,,155,20
,82,Bilal Powell,RB,54.76,-4.04,0,0,136.9,-10.1,,,,,,
,83,Adam Vinatieri,K,54.76,4.88,0,0,136.9,12.2,,,,,,
,84,Golden Tate,WR,133.65,-0.85,131.7,-3.3,136.5,2,132,0,121,-20,162,27
,85,C.J. Anderson,RB,115.21,-20.89,104.7,-23.5,135.4,-11.6,87,-45,116,-7,177,56
,86,Paul Perkins,RB,78.88,-32.72,37.2,-42,135.2,-11.8,62,-70,,,,
,87,Julian Edelman,WR,130.17,-4.33,126.1,-8.9,134.8,0.3,132,0,112,-29,133,-2
,88,Adrian Peterson,RB,91.34,-44.76,73.8,-54.4,134.6,-12.4,6,-126,231,108,9,-112
,89,Larry Fitzgerald,WR,138.9,4.4,142.8,7.8,134.5,0,137,5,172,31,90,-45
,90,Mason Crosby,K,53.16,3.28,0,0,132.9,8.2,,,,,,
,91,Sammy Watkins,WR,105.46,-29.04,94,-41,132.4,-2.1,55,-77,159,18,133,-2
,92,Matt Prater,K,52.88,3,0,0,132.2,7.5,,,,,,
,93,Travis Kelce,TE,131.16,40.65,129.2,40.7,131.9,38.5,138,49,118,31,110,20
,94,Harrison Butker,K,52.64,2.76,0,0,131.6,6.9,,,,,,
,95,Tyreek Hill,WR,107.84,1.24,82.8,3.6,131.6,-2.9,138,6,,,,
,96,Dan Bailey,K,52.32,2.44,0,0,130.8,6.1,,,,,,
,97,DeVante Parker,WR,103.27,-24.48,81.9,-39.6,130.3,-4.2,102,-30,69,-72,,
