,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,275,T.J. Yeldon,RB,77.24,-52.81,88.8,-27.3,60.1,-86.9,88,-44,120,-3,,
,276,Erik Swoope,TE,38.12,-34.84,21.6,-31.8,59.3,-34.1,36,-53,,,,
,277,D'Onta Foreman,RB,23.68,-35.12,0,0,59.2,-87.8,,,,,,
,278,David Njoku,TE,23.6,-13.76,0,0,59,-34.4,,,,,,
,279,Jermaine Gresham,TE,51.88,-38.63,46.6,-41.9,58.7,-34.7,51,-38,28,-59,76,-14
,280,Jaron Brown,WR,38.79,-95.71,25.7,-109.3,58.1,-76.4,27,-105,20,-121,35,-100
,281,Chris Conley,WR,48.06,-79.69,39.6,-81.9,57.4,-77.1,53,-79,26,-115,,
,282,Travis Benjamin,WR,78.71,-55.79,94.5,-40.5,57.4,-77.1,85,-47,128,-13,51,-84
,283,Paxton Lynch,QB,34,-179.76,16.8,-144,57,-209.4,28,-240,,,,
,284,Jeremy Kerley,WR,62.69,-71.81,63.9,-71.1,56.1,-78.4,83,-49,27,-114,60,-75
,285,Paul Richardson,WR,38.21,-96.29,25.5,-109.5,54.9,-79.6,35,-97,4,-137,33,-102
,286,Eli Rogers,WR,52.96,-53.64,46.8,-32.4,54.4,-80.1,78,-54,,,,
,287,Jerick McKinnon,RB,76.69,-59.41,89.5,-38.7,53.1,-93.9,107,-25,62,-61,67,-54
,288,Tarik Cohen,RB,21.2,-37.6,0,0,53,-94,,,,,,
,289,Jalin Marshall,WR,30.64,-75.96,14.4,-64.8,52.6,-81.9,24,-108,,,,
,290,Brandon LaFell,WR,84.45,-50.05,102.5,-32.5,52.5,-82,122,-10,52,-89,137,2
,291,Tim Hightower,RB,74.7,-55.35,86.4,-29.7,52,-95,107,-25,74,-49,,
,292,Jeremy Hill,RB,115.55,-20.55,158.5,30.3,52,-95,155,23,157,34,184,63
,293,Chester Rogers,WR,31.56,-75.04,16.2,-63,51.9,-82.6,27,-105,,,,
,294,Kenyan Drake,RB,34.72,-76.88,21,-58.2,51.8,-95.2,35,-97,,,,
,295,Devontae Booker,RB,65.44,-46.16,67.2,-12,51.6,-95.4,112,-20,,,,
,296,ArDarius Stewart,WR,20.52,-33.28,0,0,51.3,-83.2,,,,,,
,297,Nick Boyle,TE,23.55,-62.46,7.5,-72,48.5,-44.9,4,-85,17,-70,,
,298,Jermaine Kearse,WR,60.47,-74.03,70.9,-64.1,48.3,-86.2,57,-75,101,-40,64,-71
,299,Jalen Richard,RB,53.96,-57.64,52.2,-27,47.9,-99.1,87,-45,,,,
,300,Kyle Juszczyk,RB,43.24,-92.86,41,-87.2,47.6,-99.4,37,-95,56,-67,20,-101
,301,Zach Miller,TE,58.9,-27.11,66,-13.5,46.5,-46.9,73,-16,74,-13,,
,302,Adam Humphries,WR,54.34,-73.41,57,-64.5,45.1,-89.4,78,-54,34,-107,,
,303,Vernon Davis,TE,53.37,-37.14,57.7,-30.8,43.8,-49.6,70,-19,40,-47,37,-53
,304,Damien Williams,RB,50.85,-85.25,52.9,-75.3,43.5,-103.5,70,-62,24,-99,37,-84
,305,Samaje Perine,RB,17.4,-41.4,0,0,43.5,-103.5,,,,,,
,306,James Conner,RB,17.36,-41.44,0,0,43.4,-103.6,,,,,,
,307,Ryan Griffin,TE,44.7,-45.81,45,-43.5,42,-51.4,54,-35,37,-50,15,-75
,308,Chad Henne,QB,17.9,-101.96,3,-23.6,41,-225.4,null,,,,30,-236
,309,Ricardo Louis,WR,16.32,-37.48,0,0,40.8,-93.7,,,,,,
,310,Andre Williams,RB,31.25,-104.85,28.3,-99.9,40.5,-106.5,9,-123,34,-89,127,6
,311,Brandon Coleman,WR,42.75,-85,44.7,-76.8,39.5,-95,46,-86,57,-84,,
,312,Chris Ivory,RB,78.25,-57.85,110.3,-17.9,39,-108,75,-57,173,50,134,13
,313,Branden Oliver,RB,24.03,-59.27,17.5,-31.5,38.2,-108.8,,,22,-101,109,-12
,314,Vance McDonald,TE,48.18,-42.33,53.2,-35.3,38.2,-55.2,63,-26,51,-36,1,-89
,315,A.J. Derby,TE,20.68,-52.28,8.4,-45,37.7,-55.7,14,-75,,,,
,316,Dede Westbrook,WR,15.04,-38.76,0,0,37.6,-96.9,,,,,,
,317,Lance Dunbar,RB,29.08,-107.02,24.2,-104,37.2,-109.8,21,-111,28,-95,32,-89
,318,Marcedes Lewis,TE,29.16,-61.35,24.2,-64.3,36.9,-56.5,23,-66,23,-64,35,-55
,319,Chris Godwin,WR,13.8,-40,0,0,34.5,-100,,,,,,
,320,Malcolm Mitchell,WR,39.32,-67.28,38.4,-40.8,34.3,-100.2,64,-68,,,,
,321,Benjamin Watson,TE,13.6,-23.76,0,0,34,-59.4,,,,,,
,322,Aaron Jones,RB,13.32,-45.48,0,0,33.3,-113.7,,,,,,
,323,Cordarrelle Patterson,WR,41.27,-93.23,43.5,-91.5,33.3,-101.2,62,-70,1,-140,60,-75
,324,Marlon Mack,RB,13.28,-45.52,0,0,33.2,-113.8,,,,,,
,325,Seth DeValve,TE,13.24,-24.12,0,0,33.1,-60.3,,,,,,
,326,Zach Zenner,RB,44.25,-85.8,47.1,-69,33,-114,75,-57,7,-116,,
,327,Mike Tolbert,RB,33.98,-102.12,36.8,-91.4,32.7,-114.3,25,-107,67,-56,17,-104
,328,Chad Williams,WR,13.04,-40.76,0,0,32.6,-101.9,,,,,,
,329,Aldrick Robinson,WR,30.61,-82.74,26.5,-66.2,32.4,-102.1,44,-88,,,1,-134
,330,Chris Johnson,RB,38.66,-97.44,49,-79.2,31.4,-115.6,16,-116,101,-22,91,-30
,331,Orleans Darkwa,RB,26.37,-109.73,22.9,-105.3,31.3,-115.7,24,-108,24,-99,13,-108
,332,Josh Hill,TE,26.88,-63.63,24.6,-63.9,31.2,-62.2,21,-68,24,-63,48,-42
,333,Alfred Morris,RB,48.64,-87.46,65.4,-62.8,30.6,-116.4,37,-95,87,-36,171,50
,334,Brice Butler,WR,34.14,-100.36,35.8,-99.2,30.6,-103.9,40,-92,26,-115,40,-95
,335,Michael Campanaro,WR,17.45,-117.05,9.1,-125.9,30.5,-104,7,-125,11,-130,16,-119
,336,Michael Floyd,WR,68.65,-65.85,96.7,-38.3,30.5,-104,81,-51,121,-20,118,-17
,337,Xavier Grimble,TE,21.52,-51.44,14.4,-39,29.8,-63.6,24,-65,,,,
,338,Adam Shaheen,TE,11.6,-25.76,0,0,29,-64.4,,,,,,
,339,Mychal Rivera,TE,30.13,-60.38,32.7,-55.8,28.2,-65.2,25,-64,34,-53,75,-15
,340,Jaelen Strong,WR,21.3,-106.45,18,-103.5,27.5,-107,13,-119,34,-107,,
,341,Alfred Blue,RB,49.57,-86.53,67.3,-60.9,27.3,-119.7,50,-82,97,-26,82,-39
,342,Trey Burton,TE,27.08,-63.43,25,-63.5,26.7,-66.7,39,-50,5,-82,1,-89
,343,Taywan Taylor,WR,10.48,-43.32,0,0,26.2,-108.3,,,,,,
,344,Phillip Dorsett,WR,41,-86.75,48,-73.5,26,-108.5,66,-66,28,-113,,
,345,George Kittle,TE,10.32,-27.04,0,0,25.8,-67.6,,,,,,
,346,Justin Hardy,WR,30.57,-97.18,32.1,-89.4,25.3,-109.2,44,-88,19,-122,,
,347,Joe Williams,RB,9.88,-48.92,0,0,24.7,-122.3,,,,,,
,348,Gerald Everett,TE,9.8,-27.56,0,0,24.5,-68.9,,,,,,
,349,Andre Ellington,RB,32.4,-103.7,42,-86.2,24,-123,18,-114,60,-63,132,11
,350,Kendall Wright,WR,48.62,-85.88,66,-69,23.8,-110.7,61,-71,61,-80,111,-24
,351,Dontrelle Inman,WR,62.07,-72.43,84.1,-50.9,23.8,-110.7,105,-27,65,-76,16,-119
,352,Donnel Pumphrey,RB,9.4,-49.4,0,0,23.5,-123.5,,,,,,
,353,Mack Hollins,WR,9.08,-44.72,0,0,22.7,-111.8,,,,,,
,354,Ryan Grant,WR,18.4,-116.1,17.2,-117.8,22.5,-112,8,-124,39,-102,7,-128
,355,Elijah McGuire,RB,8.96,-49.84,0,0,22.4,-124.6,,,,,,
,356,Brian Hill,RB,8.8,-50,0,0,22,-125,,,,,,
,357,Virgil Green,TE,24.91,-65.6,26.3,-62.2,21.9,-71.5,30,-59,23,-64,14,-76
,358,Aaron Ripkowski,RB,24.94,-105.11,24.6,-91.5,21.6,-125.4,40,-92,2,-121,,
,359,Ryan Switzer,WR,8.56,-45.24,0,0,21.4,-113.1,,,,,,
,360,Cody Kessler,QB,40.08,-173.68,47.4,-113.4,21.2,-245.2,79,-189,,,,
,361,Dion Sims,TE,32.83,-57.68,39.1,-49.4,20.7,-72.7,50,-39,17,-70,40,-50
,362,Logan Paulsen,TE,9.6,-67.86,2.4,-60,20.5,-72.9,2,-87,,,12,-78
,363,Dwayne Allen,TE,46.67,-43.84,61.3,-27.2,20.3,-73.1,79,-10,17,-70,88,-2
,364,Wayne Gallman,RB,8.04,-50.76,0,0,20.1,-126.9,,,,,,
,365,Jamize Olawale,RB,30.37,-105.73,35.9,-92.3,19.8,-127.2,45,-87,25,-98,14,-107
,366,Rashard Higgins,WR,11.08,-95.52,4.8,-74.4,19.7,-114.8,8,-124,,,,
,367,Victor Cruz,WR,35.08,-78.27,41.8,-50.9,19.7,-114.8,63,-69,,,40,-95
,368,Chris Moore,WR,10.6,-96,4.2,-75,19.5,-115,7,-125,,,,
,369,Troy Niklas,TE,10.13,-44.78,4.9,-30.2,19.2,-74.2,null,,15,-72,4,-86
,370,JuJu Smith-Schuster,WR,7.52,-46.28,0,0,18.8,-115.7,,,,,,
,371,TJ Jones,WR,7.36,-46.44,0,0,18.4,-116.1,,,,,,
,372,Demetrius Harris,TE,17.29,-73.22,16.1,-72.4,18.1,-75.3,20,-69,13,-74,2,-88
,373,Trent Taylor,WR,7,-46.8,0,0,17.5,-117,,,,,,
,374,Rhett Ellison,TE,15.95,-74.56,15.5,-73,17.5,-75.9,12,-77,18,-69,29,-61
,375,Russell Shepard,WR,27.59,-106.91,32.1,-102.9,17.1,-117.4,47,-85,11,-130,6,-129
,376,Luke Willson,TE,23.57,-66.94,28.7,-59.8,16.8,-76.6,25,-64,27,-60,56,-34
,377,Scott Tolzien,QB,10.32,-203.44,5.4,-155.4,16.8,-249.6,9,-259,null,,,
,378,Malcolm Brown,RB,9.78,-120.27,4.8,-111.3,16.7,-130.3,7,-125,2,-121,,
,379,Elijah Hood,RB,6.64,-52.16,0,0,16.6,-130.4,,,,,,
,380,Drew Stanton,QB,14.8,-255.01,14.6,-258.3,16.5,-249.9,9,-259,-1,-286,95,-171
,381,Nathan Peterman,QB,6.6,-99.96,0,0,16.5,-249.9,,,,,,
,382,Landry Jones,QB,23.76,-232.75,27.6,-218.7,16.4,-250,34,-234,24,-261,,
,383,Bucky Hodges,TE,6.56,-30.8,0,0,16.4,-77,,,,,,
,384,Maxx Williams,TE,6.52,-30.84,0,0,16.3,-77.1,,,,,,
,385,Andre Roberts,WR,20.57,-113.93,23.5,-111.5,16.3,-118.2,23,-109,14,-127,55,-80
,386,Patrick Mahomes II,QB,6.44,-100.12,0,0,16.1,-250.3,,,,,,
,387,Javorius Allen,RB,23.55,-106.5,33.3,-82.8,16,-131,5,-127,101,-22,,
,388,Patrick Mahomes II,QB,6.28,-100.28,0,0,15.7,-250.7,,,,,,
,389,Jonnu Smith,TE,6.24,-31.12,0,0,15.6,-77.8,,,,,,
,390,Kamar Aiken,WR,42.53,-91.97,65.1,-69.9,15.2,-119.3,39,-93,124,-17,45,-90
,391,Rod Streater,WR,19.47,-115.03,20.9,-114.1,14.8,-119.7,31,-101,3,-138,14,-121
,392,Matt Moore,QB,28.73,-198.33,34.3,-153.1,14.7,-251.7,57,-211,null,,1,-265
,393,Jordan Leggett,TE,5.84,-31.52,0,0,14.6,-78.8,,,,,,
,394,Bruce Ellington,WR,9.29,-72.41,6.9,-48.9,14.6,-119.9,,,14,-127,27,-108
,395,Benny Cunningham,RB,23.25,-112.85,31.1,-97.1,14.5,-132.5,19,-113,39,-84,80,-41
,396,De'Angelo Henderson,RB,5.76,-53.04,0,0,14.4,-132.6,,,,,,
,397,Nick O'Leary,TE,11.48,-74.53,9,-70.5,14.2,-79.2,13,-76,4,-83,,
,398,Kerwynn Williams,RB,21.1,-115,25.4,-102.8,14,-133,28,-104,20,-103,26,-95
,399,Sammie Coates,WR,28.47,-99.28,34.5,-87,13.8,-120.7,57,-75,1,-140,,
,400,Darren Fells,TE,21.58,-68.93,28,-60.5,13.7,-79.7,21,-68,49,-38,7,-83
,401,John Kuhn,RB,25.69,-110.41,32.3,-95.9,13.6,-133.4,41,-91,20,-103,17,-104
,402,Jeff Heuerman,TE,11.04,-61.92,8.4,-45,13.6,-79.8,14,-75,,,,
,403,Brandon Allen,QB,5.44,-101.12,0,0,13.6,-252.8,,,,,,
,404,Tyler Ervin,RB,4.56,-107.04,-1.2,-80.4,13.4,-133.6,-2,-134,,,,
,405,Fozzy Whittaker,RB,29.22,-106.88,38.4,-89.8,13.3,-133.7,47,-85,23,-100,33,-88
,406,Levine Toilolo,TE,23,-67.51,28,-60.5,13,-80.4,38,-51,6,-81,34,-56
,407,Clive Walford,TE,5.2,-32.16,0,0,13,-80.4,,,,,,
,408,James Hanna,TE,6.53,-48.38,2.9,-32.2,12.7,-80.7,,,8,-79,5,-85
,409,Geronimo Allison,WR,17.8,-88.8,19.2,-60,12.5,-122,32,-100,,,,
,410,Brent Celek,TE,4.96,-32.4,0,0,12.4,-81,,,,,,
,411,Lee Smith,TE,8.57,-81.94,6.7,-81.8,12.3,-81.1,3,-86,13,-74,10,-80
,412,Lorenzo Taliaferro,RB,10.67,-125.43,11.3,-116.9,12.3,-134.7,1,-131,14,-109,65,-56
,413,Demarcus Robinson,WR,4.88,-48.92,0,0,12.2,-122.3,,,,,,
,414,Bryce Petty,QB,17.56,-196.2,19.2,-141.6,11.9,-254.5,32,-236,,,,
,415,Charcandrick West,RB,48.03,-82.02,73.5,-42.6,11.7,-135.3,66,-66,113,-10,,
,416,Rashad Greene,WR,8.29,-119.46,7.5,-114,11.1,-123.4,1,-131,23,-118,,
,417,Stephen Anderson,TE,10.32,-62.64,9,-44.4,10.8,-82.6,15,-74,,,,
,418,De'Anthony Thomas,WR,12.42,-122.08,15,-120,10.8,-123.7,6,-126,27,-114,33,-102
,419,Bennie Fowler,WR,18.42,-109.33,22.8,-98.7,10.8,-123.7,27,-105,22,-119,,
,420,Ed Dickson,TE,16.34,-74.17,20.4,-68.1,10.6,-82.8,19,-70,24,-63,18,-72
,421,Danny Amendola,WR,37.19,-97.31,56.3,-78.7,10.6,-123.9,48,-84,83,-58,26,-109
,422,C.J. Beathard,QB,4.16,-102.4,0,0,10.4,-256,,,,,,
,423,Jarius Wright,WR,19.89,-114.61,29.1,-105.9,10.1,-124.4,13,-119,45,-96,78,-57
,424,Lance Kendricks,TE,36.27,-54.24,52.7,-35.8,9.8,-83.6,60,-29,37,-50,56,-34
,425,Jace Billingsley,WR,3.88,-49.92,0,0,9.7,-124.8,,,,,,
,426,Corey Brown,WR,30.08,-104.42,46,-89,9.7,-124.8,32,-100,73,-68,49,-86
,427,Chris Carson,RB,3.84,-54.96,0,0,9.6,-137.4,,,,,,
,428,Andy Janovich,RB,9.36,-102.24,8.4,-70.8,9.4,-137.6,14,-118,,,,
,429,Derek Anderson,QB,13.27,-256.54,15.7,-257.2,9.3,-257.1,17,-251,1,-284,52,-214
,430,Teddy Bridgewater,QB,42.44,-120.17,78,-34.1,8.6,-257.8,,,200,-85,180,-86
,431,Eric Tomlinson,TE,3.32,-34.04,0,0,8.3,-85.1,,,,,,
,432,Dan Vitale,RB,4.48,-107.12,1.8,-77.4,8.2,-138.8,3,-129,,,,
,433,Amara Darboh,WR,3.28,-50.52,0,0,8.2,-126.3,,,,,,
,434,Bobby Rainey,RB,15.33,-120.77,20.1,-108.1,8.2,-138.8,20,-112,1,-122,78,-43
,435,Jake Butt,TE,3.2,-34.16,0,0,8,-85.4,,,,,,
,436,Case Keenum,QB,56.15,-213.66,83.3,-189.6,8,-258.4,113,-155,44,-241,23,-243
,437,Tommylee Lewis,WR,6.76,-99.84,5.4,-73.8,7.9,-126.6,9,-123,,,,
,438,Akeem Hunt,RB,10.82,-119.23,12.6,-103.5,7.8,-139.2,14,-118,14,-109,,
,439,Leonte Carroo,WR,6.72,-99.88,5.4,-73.8,7.8,-126.7,9,-123,,,,
,440,Darrel Young,RB,5.53,-77.77,4.9,-44.1,7.7,-139.3,,,3,-120,40,-81
,441,C.J. Uzomah,TE,14.68,-58.28,17.4,-36,7.7,-85.7,29,-60,null,,,
,442,Ben Koyack,TE,11.88,-61.08,13.2,-40.2,7.7,-85.7,22,-67,,,,
,443,Jeremy Langford,RB,43.84,-86.21,70.8,-45.3,7.6,-139.4,54,-78,128,5,,
,444,Terron Ward,RB,12.81,-117.24,16.5,-99.6,7.4,-139.6,16,-116,23,-100,,
,445,Isaiah McKenzie,WR,2.96,-50.84,0,0,7.4,-127.1,,,,,,
,446,Jehu Chesson,WR,2.92,-50.88,0,0,7.3,-127.2,,,,,,
,447,Patrick DiMarco,RB,11.29,-124.81,14.7,-113.5,7.1,-139.9,11,-121,23,-100,12,-109
,448,Randall Telfer,TE,2.84,-34.52,0,0,7.1,-86.3,null,,,,,
,449,Matt Lengel,TE,5.88,-67.08,4.8,-48.6,6.7,-86.7,8,-81,,,,
,450,Matt Cassel,QB,20.28,-249.53,32,-240.9,6.7,-259.7,16,-252,67,-218,23,-243
,451,Malachi Dupre,WR,2.64,-51.16,0,0,6.6,-127.9,,,,,,
,452,Khalfani Muhammad,RB,2.6,-56.2,0,0,6.5,-140.5,,,,,,
,453,Eric Saubert,TE,2.6,-34.76,0,0,6.5,-86.9,,,,,,
,454,Richard Rodgers,TE,35.25,-55.26,57.5,-31,6.5,-86.9,39,-50,102,15,35,-55
,455,Brandon Tate,WR,12.45,-122.05,16.3,-118.7,6.5,-128,17,-115,12,-129,25,-110
,456,Michael Roberts,TE,2.56,-34.8,0,0,6.4,-87,,,,,,
,457,Dwayne Harris,WR,14.71,-119.79,23.3,-111.7,6.4,-128.1,5,-127,65,-76,8,-127
,458,Ifeanyi Momah,TE,4.56,-68.4,3,-50.4,6.4,-87,5,-84,,,,
,459,Tavarres King,WR,4.53,-108.82,3.1,-89.6,6.2,-128.3,5,-127,,,1,-134
,460,Justin Hunter,WR,27.88,-106.62,42.2,-92.8,6.2,-128.3,43,-89,32,-109,68,-67
,461,Darrius Heyward-Bey,WR,23.28,-111.22,34.6,-100.4,6.2,-128.3,35,-97,45,-96,1,-134
,462,David Johnson,TE,2.44,-34.92,0,0,6.1,-87.3,,,,,,
,463,Matt LaCosse,TE,2.7,-47.71,0.6,-25.5,6,-87.4,,,2,-85,,
,464,Matthew Dayes,RB,2.4,-56.4,0,0,6,-141,,,,,,
,465,Kapri Bibbs,RB,12.8,-98.8,15.6,-63.6,6,-141,26,-106,null,,,
,466,Jakeem Grant,WR,1.6,-105,-1.2,-80.4,6,-128.5,-2,-134,,,,
,467,Rod Smith,RB,2.51,-74.74,0.3,-36.6,5.9,-141.1,null,,1,-122,,
,468,Damiere Byrd,WR,3.16,-103.44,1.2,-78,5.9,-128.6,2,-130,,,,
,469,Anthony Fasano,TE,19.18,-71.33,29.8,-58.7,5.7,-87.7,20,-69,43,-44,49,-41
,470,Larry Donnell,TE,17,-73.51,27,-61.5,5.5,-87.9,13,-76,34,-53,90,0
,471,Nick Vannett,TE,3.36,-69.6,1.8,-51.6,5.4,-88,3,-86,,,,
,472,Aaron Burbridge,WR,4.96,-101.64,4.2,-75,5.4,-129.1,7,-125,,,,
,473,Roosevelt Nix,RB,2.82,-127.23,1.2,-114.9,5.3,-141.7,1,-131,2,-121,,
,474,Tajae Sharpe,WR,27.68,-78.92,38.4,-40.8,5.2,-129.3,64,-68,,,,
,475,Kenjon Barner,RB,15.63,-114.42,21.3,-94.8,5.2,-141.8,29,-103,13,-110,,
,476,MarQueis Gray,TE,9.53,-67.93,11.5,-50.9,5.2,-88.2,17,-72,null,,13,-77
,477,Garrett Celek,TE,28.24,-62.27,42.2,-46.3,5.1,-88.3,51,-38,37,-50,5,-85
,478,Daniel Lasco,RB,3.64,-107.96,2.4,-76.8,5.1,-141.9,4,-128,,,,
,479,Josh Reynolds,WR,2,-51.8,0,0,5,-129.5,,,,,,
,480,Quan Bray,WR,3.56,-103.04,2.4,-76.8,4.9,-129.6,4,-128,,,,
,481,Ben Braunecker,TE,3.52,-69.44,2.4,-51,4.8,-88.6,4,-85,,,,
,482,Ross Travis,TE,2.72,-70.24,1.2,-52.2,4.8,-88.6,2,-87,,,,
,483,Temarrick Hemingway,TE,1.92,-35.44,0,0,4.8,-88.6,,,,,,
,484,Logan Thomas,TE,1.88,-35.48,0,0,4.7,-88.7,,,,,,
,485,Fitzgerald Toussaint,RB,6.58,-129.52,7.6,-120.6,4.7,-142.3,9,-123,6,-117,4,-117
,486,Cory Harkey,RB,1.64,-57.16,0,0,4.1,-142.9,,,,,,
,487,Anthony Sherman,RB,3.49,-132.61,3.5,-124.7,4.1,-142.9,1,-131,5,-118,14,-107
,488,Chad Hansen,WR,1.56,-52.24,0,0,3.9,-130.6,,,,,,
,489,Devante Mays,RB,1.52,-57.28,0,0,3.8,-143.2,,,,,,
,490,Michael Hoomanawanui,TE,5.32,-49.59,7.6,-27.5,3.8,-89.6,,,24,-63,4,-86
,491,Rodney Adams,WR,1.48,-52.32,0,0,3.7,-130.8,,,,,,
,492,Derek Watt,RB,5.08,-106.52,5.4,-73.8,3.7,-143.3,9,-123,,,,
,493,Marcel Reece,RB,14.34,-121.76,24,-104.2,3.6,-143.4,9,-123,49,-74,39,-82
,494,C.J. Spiller,RB,16.04,-120.06,26.6,-101.6,3.6,-143.4,13,-119,47,-76,47,-74
,495,Shelton Gibson,WR,1.36,-52.44,0,0,3.4,-131.1,,,,,,
,496,Jeremy McNichols,RB,1.28,-57.52,0,0,3.2,-143.8,,,,,,
,497,Jared Abbrederis,WR,3.63,-124.12,4.5,-117,3.2,-131.3,1,-131,13,-128,,
,498,Joshua Perkins,TE,5.28,-67.68,6,-47.4,3.2,-90.2,10,-79,,,,
,499,Maurice Lynell Harris,WR,1.28,-52.52,0,0,3.2,-131.3,,,,,,
,500,Maurice Lynell Harris,WR,1.28,-52.52,0,0,3.2,-131.3,,,,,,
,501,Ishmael Zamora,WR,1.24,-52.56,0,0,3.1,-131.4,,,,,,
,502,Niles Paul,TE,5.19,-72.27,7.3,-55.1,3.1,-90.3,3,-86,,,55,-35
,503,Will Tye,TE,28.9,-57.11,46.2,-33.3,3,-90.4,46,-43,62,-25,,
,504,Sean McGrath,TE,2.4,-70.56,1.8,-51.6,3,-90.4,3,-86,,,,
,505,Donteea Dye,WR,1.16,-52.64,0,0,2.9,-131.6,,,,,,
,506,Luke Stocker,TE,3.96,-86.55,5.2,-83.3,2.9,-90.5,2,-87,12,-75,4,-86
,507,James Develin,RB,2.21,-115.44,1.7,-89.6,2.9,-144.1,2,-130,,,5,-116
,508,Brenton Bersin,WR,4.47,-130.03,6.3,-128.7,2.8,-131.7,2,-130,10,-131,21,-114
,509,Geoff Swaim,TE,3.88,-69.08,4.2,-49.2,2.7,-90.7,7,-82,null,,,
,510,Rico Gathers,TE,1.08,-36.28,0,0,2.7,-90.7,,,,,,
,511,Ronnie Hillman,RB,34.48,-101.62,62.4,-65.8,2.7,-144.3,22,-110,137,14,81,-40
,512,Brett Hundley,QB,0.28,-213.48,-1.2,-162,2.7,-263.7,-2,-270,,,,
,513,Cameron Artis-Payne,RB,16.78,-113.27,25.8,-90.3,2.7,-144.3,28,-104,30,-93,,
,514,Kasen Williams,WR,1.08,-52.72,0,0,2.7,-131.8,,,,,,
,515,Josh Malone,WR,1.04,-52.76,0,0,2.6,-131.9,,,,,,
,516,Phillip Supernaw,TE,3.74,-86.77,4.2,-84.3,2.6,-90.8,6,-83,1,-86,3,-87
,517,Chase Daniel,QB,1.84,-225.22,1.4,-186,2.6,-263.8,1,-267,null,,8,-258
,518,Jay Prosch,RB,2.39,-133.71,2.3,-125.9,2.6,-144.4,2,-130,3,-120,2,-119
,519,Tyler Kroft,TE,1.04,-36.32,0,0,2.6,-90.8,,,,,,
,520,Neal Sterling,TE,5.44,-67.52,6.6,-46.8,2.6,-90.8,11,-78,,,,
,521,Jordan Payton,WR,1,-52.8,0,0,2.5,-132,null,,,,,
,522,Ryan Fitzpatrick,QB,105.95,-163.86,183.3,-89.6,2.5,-263.9,133,-135,285,0,180,-86
,523,Jake Rudock,QB,1,-105.56,0,0,2.5,-263.9,,,,,,
,524,Jimmy Garoppolo,QB,15.6,-211.46,22.2,-165.2,2.5,-263.9,35,-233,null,,12,-254
,525,Matt Schaub,QB,5.11,-157.5,8.3,-103.8,2.4,-264,null,,29,-256,-4,-270
,526,Marcus Johnson,WR,0.92,-52.88,0,0,2.3,-132.2,,,,,,
,527,Geno Smith,QB,14.97,-254.84,26.5,-246.4,2.3,-264.1,8,-260,20,-265,157,-109
,528,Trevone Boykin,QB,4.12,-209.64,4.8,-156,2.3,-264.1,8,-260,,,,
,529,Connor Cook,QB,4.12,-209.64,4.8,-156,2.3,-264.1,8,-260,,,,
,530,Kellen Clemens,QB,1.82,-147.49,1.8,-83.7,2.3,-264.1,null,,6,-279,null,
,531,Ryan Hewitt,RB,3.23,-132.87,4.5,-123.7,2.2,-144.8,1,-131,10,-113,9,-112
,532,Ryan Mallett,QB,11.73,-258.08,22.1,-250.8,2.2,-264.2,-2,-270,71,-214,20,-246
,533,Colt McCoy,QB,5.38,-157.23,9,-103.1,2.2,-264.2,,,9,-276,63,-203
,534,Nick Foles,QB,32.43,-237.38,57.5,-215.4,2.2,-264.2,28,-240,96,-189,119,-147
,535,Kellen Moore,QB,5.79,-143.52,9.9,-75.6,2.1,-264.3,,,33,-252,,
,536,AJ McCarron,QB,0.8,-105.76,0,0,2,-264.4,,,,,,
,537,Sean Mannion,QB,0.55,-255.96,-0.3,-246.6,2,-264.4,-1,-269,1,-284,,
,538,Matt Barkley,QB,29.12,-184.64,42.6,-118.2,1.8,-264.6,71,-197,,,null,
,539,Wendall Williams,WR,3.76,-102.84,4.8,-74.4,1.4,-133.1,8,-124,,,,
,540,Alex Erickson,WR,3.36,-103.24,4.2,-75,1.4,-133.1,7,-125,,,,
,541,Chris Gragg,TE,3.32,-51.59,5.6,-29.5,1.3,-92.1,,,15,-72,11,-79
,542,Michael Burton,RB,0.52,-58.28,0,0,1.3,-145.7,,,,,,
,543,Pharoh Cooper,WR,4.08,-102.52,5.4,-73.8,1.2,-133.3,9,-123,,,,
,544,Brittan Golden,WR,5.27,-122.48,7.5,-114,0.8,-133.7,12,-120,1,-140,,
,545,Mario Alford,WR,0.32,-53.48,0,0,0.8,-133.7,,,,,,
,546,Eric Weems,WR,0.28,-53.52,0,0,0.7,-133.8,,,,,,
,547,Trevor Davis,WR,2.68,-103.92,3.6,-75.6,0.7,-133.8,6,-126,,,,
,548,Demarcus Ayers,WR,4.24,-102.36,6,-73.2,0.6,-133.9,10,-122,,,,
,549,Deonte Thompson,WR,15.4,-112.35,23.4,-98.1,0.5,-134,35,-97,8,-133,null,
,550,Cody Latimer,WR,5.22,-129.28,8.6,-126.4,0.3,-134.2,8,-124,12,-129,2,-133
,551,Michael Thomas,WR,65.68,-40.92,98.4,19.2,0.2,-134.3,164,32,,,,
,552,Jeff Janis,WR,11.38,-123.12,17.6,-117.4,0.2,-134.3,25,-107,8,-133,2,-133
