Taken,Rank,Name,Position,ProjectPointsAverage,ProjectedVBDAverage,PointsAverage,VBDAverage,BestPointsYear,BestVBDYear,Points_2016,VBD_2016,Team_2016,Points_2015,VBD_2015,Team_2015,Points_2014,VBD_2014,Team_2014,Points_2013,VBD_2013,Team_2013 
,828,Billy Bajema,TE,0.160,0.000,0.200,0.000,2013 BAL,2013 BAL,,,,,,,,,,2,,BAL
,829,Chad Hall,WR,0.160,0.000,0.200,0.000,2013 KAN,2013 KAN,,,,,,,,,,2,,KAN
,830,Josh Johnson,QB,0.160,0.000,0.200,0.000,2013 CIN,2013 CIN,,,,,,,,,,2,,CIN
,831,Bernard Scott,RB,0.160,0.000,0.200,0.000,2013 2TM,2013 2TM,,,,,,,,,,2,,2TM
,817,Kory Sperry,TE,0.160,0.000,0.200,0.000,2013 ARI,2013 ARI,,,,,,,,,,2,,ARI
,818,Tori Gurley,WR,0.160,0.000,0.200,0.000,2013 CLE,2013 CLE,,,,,,,,,,2,,CLE
,819,Jeremy Ebert,WR,0.160,0.000,0.200,0.000,2013 JAX,2013 JAX,,,,,,,,,,2,,JAX
,820,Ray Graham,RB,0.160,0.000,0.200,0.000,2013 2TM,2013 2TM,,,,,,,,,,2,,2TM
,832,Armanti Edwards,WR,0.080,0.000,0.100,0.000,2013 2TM,2013 2TM,,,,,,,,,,1,,2TM
,833,Ben Obomanu,WR,0.080,0.000,0.100,0.000,2013 NYJ,2013 NYJ,,,,,,,,,,1,,NYJ
,834,Mikel Leshoure,RB,0.080,0.000,0.100,0.000,2013 DET,2013 DET,,,,,,,,,,1,,DET
,835,Mike McNeill,TE,0.080,0.000,0.100,0.000,2013 STL,2013 STL,,,,,,,,,,1,,STL
,836,Armond Smith,RB,0.080,0.000,0.100,0.000,2013 CAR,2013 CAR,,,,,,,,,,1,,CAR
,837,Konrad Reuland,TE,0.080,0.000,0.100,0.000,2013 NYJ,2013 NYJ,,,,,,,,,,1,,NYJ
,838,Kevin Cone,WR,0.080,0.000,0.100,0.000,2013 ATL,2013 ATL,,,,,,,,,,1,,ATL
,839,Orson Charles,TE,0.080,0.000,0.100,0.000,2013 CIN,2013 CIN,,,,,,,,,,1,,CIN
,840,Ronnie Wingo,RB,0.080,0.000,0.100,0.000,2013 BUF,2013 BUF,,,,,,,,,,1,,BUF
,890,Kahlil Bell,,0.000,0.000,0.000,0.000,2013 GNB,2013 GNB,,,,,,,,,,,,GNB
,891,Ben Hartsock,,0.000,0.000,0.000,0.000,2013 CAR,2013 CAR,,,,,,,,,,,,CAR
,892,Lavelle Hawkins,,0.000,0.000,0.000,0.000,2013 SDG,2013 SDG,,,,,,,,,,,,SDG
,893,Quinn Johnson,,0.000,0.000,0.000,0.000,2013 TEN,2013 TEN,,,,,,,,,,,,TEN
,894,David Reed,WR,0.000,0.000,0.000,0.000,2013 IND,2013 IND,,,,,,,,,,,,IND
,895,Brian Robiskie,,0.000,0.000,0.000,0.000,2013 ATL,2013 ATL,,,,,,,,,,,,ATL
,896,Visanthe Shiancoe,TE,0.000,0.000,0.000,0.000,2013 TEN,2013 TEN,,,,,,,,,,,,TEN
,897,Josh Vaughan,RB,0.000,0.000,0.000,0.000,2013 ATL,2013 ATL,,,,,,,,,,,,ATL
,898,Stephen Williams,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,899,Lance Lewis,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,900,Delone Carter,,0.000,0.000,0.000,0.000,2013 JAX,2013 JAX,,,,,,,,,,,,JAX
,901,Ryan Whalen,,0.000,0.000,0.000,0.000,2013 CIN,2013 CIN,,,,,,,,,,,,CIN
,902,Evan Royster,RB,0.000,0.000,0.000,0.000,2013 WAS,2013 WAS,,,,,,,,,,,,WAS
,903,Will Yeatman,,0.000,0.000,0.000,0.000,2013 MIA,2013 MIA,,,,,,,,,,,,MIA
,904,Chris Rainey,,0.000,0.000,0.000,0.000,2013 IND,2013 IND,,,,,,,,,,,,IND
,905,B.J. Cunningham,,0.000,0.000,0.000,0.000,2013 PHI,2013 PHI,,,,,,,,,,,,PHI
,906,Marvin McNutt,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,907,Brad Smelley,,0.000,0.000,0.000,0.000,2013 HOU,2013 HOU,,,,,,,,,,,,HOU
,908,Matt Veldman,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,909,Joe Anderson,,0.000,0.000,0.000,0.000,2013 CHI,2013 CHI,,,,,,,,,,,,CHI
,910,Jake Byrne,,0.000,0.000,0.000,0.000,2013 3TM,2013 3TM,,,,,,,,,,,,3TM
,911,Chris Harper,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,912,Michael Ford,,0.000,0.000,0.000,0.000,2013 CHI,2013 CHI,,,,,,,,,,,,CHI
,913,D.C. Jefferson,,0.000,0.000,0.000,0.000,2013 ARI,2013 ARI,,,,,,,,,,,,ARI
,914,Ryan Spadola,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,915,Matthew Tucker,,0.000,0.000,0.000,0.000,2013 PHI,2013 PHI,,,,,,,,,,,,PHI
,843,Tobais Palmer,,0.000,0.000,0.000,0.000,2013 2TM,2013 2TM,,,,,,,,,,,,2TM
,844,Justin Veltung,,0.000,0.000,0.000,0.000,2013 STL,2013 STL,,,,,,,,,,,,STL
,921,Curtis Painter,QB,-0.160,0.000,-0.200,0.000,2013 NYG,2013 NYG,,,,,,,,,,-2,,NYG
,922,Devon Wylie,,-0.160,0.000,-0.200,0.000,2013 5TM,2013 5TM,,,,,,,,,,-2,,5TM
,923,Greg Jenkins,,-0.160,0.000,-0.200,0.000,2013 OAK,2013 OAK,,,,,,,,,,-2,,OAK
,925,Trindon Holliday,WR,-0.240,0.000,-0.300,0.000,2013 DEN,2013 DEN,,,,,,,,,,-3,,DEN
,50,Ezekiel Elliott,RB,78.113,22.074,undefined,undefined,,,205.56,58.090,Dal,,,,,,,,,
,204,Dak Prescott,QB,60.059,0.000,undefined,undefined,,,158.05,0.000,Dal,,,,,,,,,
,226,Sterling Shepard,WR,49.134,0.000,undefined,undefined,,,129.30,0.000,NYG,,,,,,,,,
,249,Corey Coleman,WR,42.408,0.000,undefined,undefined,,,111.60,0.000,Cle,,,,,,,,,
,254,Michael Thomas,WR,41.663,0.000,undefined,undefined,,,109.64,0.000,NO,,,,,,,,,
,255,Kevin White,WR,40.850,0.000,undefined,undefined,,,107.50,0.000,Chi,,,,,,,,,
,259,Derrick Henry,RB,38.407,0.000,undefined,undefined,,,101.07,0.000,Ten,,,,,,,,,
,264,Will Fuller,WR,37.780,0.000,undefined,undefined,,,99.42,0.000,Hou,,,,,,,,,
,267,Laquon Treadwell,WR,37.217,0.000,undefined,undefined,,,97.94,0.000,Min,,,,,,,,,
