Taken,Rank,Name,Position,ProjectPointsAverage,ProjectedVBDAverage,PointsAverage,VBDAverage,BestPointsYear,BestVBDYear,Points_2016,VBD_2016,Team_2016,Points_2015,VBD_2015,Team_2015,Points_2014,VBD_2014,Team_2014,Points_2013,VBD_2013,Team_2013 
,27,Mark Ingram,RB,163.343,37.284,146.000,31.200,2014 NOR,2014 NOR,197.06,49.590,NO,153,30,NOR,163,44,NOR,53,,NOR
,77,Ben Watson,TE,51.740,11.020,82.100,17.400,2015 NOR,2015 NOR,,,,117,29,NOR,28,,NOR,35,,NOR
,81,Carson Palmer,QB,264.430,10.427,239.300,14.400,2015 ARI,2015 ARI,295.71,3.440,Ari,309,24,ARI,106,,ARI,221,,ARI
,51,Emmanuel Sanders,WR,139.940,21.600,160.800,37.800,2014 DEN,2014 DEN,111.00,0.000,Den,148,24,DEN,201,78,DEN,117,,PIT
,63,Jonathan Stewart,RB,139.786,16.208,126.700,15.000,2015 CAR,2015 CAR,165.28,17.810,Car,147,24,CAR,121,2,CAR,22,,CAR
,17,LeSean McCoy,RB,181.658,49.299,167.400,44.600,2013 PHI,2013 PHI,200.31,52.840,Buf,147,23,BUF,171,52,PHI,279,152,PHI
,86,Michael Crabtree,WR,124.107,8.630,119.200,13.200,2015 OAK,2015 OAK,133.86,0.710,Oak,146,22,OAK,94,,SFO,34,,SFO
,75,Jordan Matthews,WR,128.950,11.173,128.100,16.200,2015 PHI,2015 PHI,136.50,3.350,Phi,146,21,PHI,135,12,PHI,,,
,35,Drew Brees,QB,314.450,31.647,310.900,34.000,2013 NOR,2013 NOR,317.71,25.440,NO,306,21,NOR,305,39,NOR,358,97,NOR
,32,Aaron Rodgers,QB,308.300,32.858,307.500,39.900,2014 GNB,2014 GNB,319.58,27.310,GB,305,20,GNB,358,93,GNB,171,,GNB
,74,John Brown,WR,125.504,11.567,115.500,10.800,2015 ARI,2015 ARI,145.59,12.440,Ari,143,18,ARI,99,,ARI,,,
,45,T.Y. Hilton,WR,152.753,25.596,152.800,29.200,2014 IND,2014 IND,155.35,22.200,Ind,142,18,IND,179,55,IND,139,19,IND
,24,DeMarco Murray,RB,170.482,40.780,192.700,70.600,2014 DAL,2014 DAL,141.69,0.000,Ten,140,17,PHI,294,175,DAL,205,79,DAL
,91,James Jones,WR,77.740,6.460,124.900,10.200,2015 GNB,2015 GNB,,,,141,17,GNB,101,,OAK,100,,GNB
,64,Amari Cooper,WR,114.065,15.968,84.600,9.600,2015 OAK,2015 OAK,159.17,26.020,Oak,141,16,OAK,,,,,,
,93,Tavon Austin,WR,112.939,6.080,110.800,9.600,2015 STL,2015 STL,113.47,0.000,LA,141,16,STL,59,,STL,85,,STL
,94,Ted Ginn,WR,91.150,6.080,98.900,9.600,2015 CAR,2015 CAR,72.71,0.000,Car,140,16,CAR,20,,ARI,89,,CAR
,96,Richard Rodgers,TE,56.098,5.700,71.700,9.000,2015 GNB,2015 GNB,30.89,0.000,GB,102,15,GNB,35,,GNB,,,
,102,Ronnie Hillman,RB,77.370,5.320,110.300,8.400,2015 DEN,2015 DEN,24.50,0.000,Den,137,14,DEN,81,,DEN,38,,DEN
,92,Rashad Jennings,RB,136.750,6.371,128.200,9.000,2013 OAK,2015 NYG,148.71,1.240,NYG,136,13,NYG,109,,NYG,139,12,OAK
,39,Mike Evans,WR,145.968,28.191,135.300,23.400,2014 TAM,2014 TAM,172.60,39.450,TB,137,12,TAM,177,54,TAM,,,
,111,Kirk Cousins,QB,240.123,3.800,207.000,6.000,2015 WAS,2015 WAS,292.27,0.000,Was,295,10,WAS,88,,WAS,36,,WAS
,78,Giovani Bernard,RB,140.216,10.860,139.400,17.300,2013 CIN,2013 CIN,140.78,0.000,Cin,132,9,CIN,145,26,CIN,167,41,CIN
,90,Zach Ertz,TE,97.599,6.703,90.100,4.800,2015 PHI,2015 PHI,110.26,9.640,Phi,95,8,PHI,86,,PHI,73,,PHI
,97,Matthew Stafford,QB,286.515,5.633,279.900,6.600,2015 DET,2013 DET,295.04,2.770,Det,292,7,DET,254,,DET,285,24,DET
,121,Charles Sims,RB,99.828,2.280,90.000,3.600,2015 TAM,2015 TAM,116.02,0.000,TB,129,6,TAM,42,,TAM,,,
,68,Antonio Gates,TE,107.802,14.666,112.700,24.200,2014 SDG,2014 SDG,103.32,2.700,SD,93,6,SDG,154,64,SDG,107,14,SDG
,128,Jeremy Langford,RB,104.679,1.520,76.800,2.400,2015 CHI,2015 CHI,147.47,0.000,Chi,128,4,CHI,,,,,,
,135,Travis Benjamin,WR,100.670,1.140,93.400,1.800,2015 CLE,2015 CLE,112.71,0.000,SD,128,3,CLE,51,,CLE,13,,CLE
,136,Rueben Randle,WR,74.160,1.140,119.900,1.800,2015 NYG,2015 NYG,,,,128,3,NYG,112,,NYG,95,,NYG
,99,Eli Manning,QB,281.289,5.386,270.800,2.400,2015 NYG,2014 NYG,302.76,10.490,NYG,288,2,NYG,270,4,NYG,170,,NYG
,119,Philip Rivers,QB,285.209,2.540,280.100,3.300,2013 SDG,2013 SDG,292.13,0.000,SD,286,1,SDG,266,,SDG,287,27,SDG
,916,Richie Brockel,,-0.080,0.000,-0.100,0.000,2015 CAR,2015 CAR,,,,,,CAR,,,CAR,-1,,CAR
,170,James Starks,RB,94.082,0.000,99.700,0.000,2015 GNB,2015 GNB,82.48,0.000,GB,123,,GNB,59,,GNB,82,,GNB
,177,Kamar Aiken,WR,86.384,0.000,87.900,0.000,2015 BAL,2015 BAL,84.38,0.000,Bal,124,,BAL,45,,BAL,,,
,150,Ryan Fitzpatrick,QB,257.092,0.000,241.700,0.000,2015 NYJ,2015 NYJ,280.61,0.000,NYJ,285,,NYJ,180,,HOU,167,,TEN
,154,Jameis Winston,QB,212.086,0.000,167.400,0.000,2015 TAM,2015 TAM,279.12,0.000,TB,279,,TAM,,,,,,
,155,Tyrod Taylor,QB,210.734,0.000,165.500,0.000,2015 BUF,2015 BUF,278.51,0.000,Buf,275,,BUF,,,BAL,5,,BAL
,149,Alex Smith,QB,259.612,0.000,256.300,0.000,2015 KAN,2015 KAN,262.61,0.000,KC,273,,KAN,224,,KAN,253,,KAN
,151,Derek Carr,QB,243.786,0.000,221.400,0.000,2015 OAK,2015 OAK,287.70,0.000,Oak,273,,OAK,192,,OAK,,,
,122,Ryan Tannehill,QB,265.685,2.080,263.100,3.900,2014 MIA,2014 MIA,272.17,0.000,Mia,259,,MIA,279,13,MIA,240,,MIA
,110,Andy Dalton,QB,264.632,3.969,242.900,2.900,2013 CIN,2013 CIN,296.61,4.340,Cin,244,,CIN,225,,CIN,290,29,CIN
,117,Matt Ryan,QB,258.734,3.040,251.600,5.700,2014 ATL,2014 ATL,273.09,0.000,Atl,236,,ATL,284,19,ATL,248,,ATL
,67,Ben Roethlisberger,QB,278.009,14.747,259.500,13.500,2014 PIT,2014 PIT,312.13,19.860,Pit,234,,PIT,310,45,PIT,261,,PIT
,152,Jay Cutler,QB,242.504,0.000,231.700,0.000,2014 CHI,2015 CHI,264.80,0.000,Chi,230,,CHI,256,,CHI,169,,CHI
,156,Marcus Mariota,QB,184.285,0.000,126.000,0.000,2015 TEN,2015 TEN,274.96,0.000,Ten,210,,TEN,,,,,,
,162,Teddy Bridgewater,QB,104.800,0.000,174.000,0.000,2015 MIN,2015 MIN,,,,200,,MIN,180,,MIN,,,
,157,Sam Bradford,QB,171.130,0.000,128.900,0.000,2015 PHI,2015 PHI,230.29,0.000,Phi,195,,PHI,,,,119,,STL
,168,Brian Hoyer,QB,94.464,0.000,153.100,0.000,2015 HOU,2015 HOU,4.22,0.000,Chi,169,,HOU,159,,CLE,40,,CLE
,153,Joe Flacco,QB,219.634,0.000,199.000,0.000,2014 BAL,2015 BAL,257.88,0.000,Bal,166,,BAL,262,,BAL,208,,BAL
,164,Josh McCown,QB,99.790,0.000,133.300,0.000,2015 CLE,2015 CLE,44.50,0.000,Cle,136,,CLE,127,,TAM,136,,CHI
,41,Andrew Luck,QB,252.431,27.388,216.300,30.600,2014 IND,2014 IND,318.87,26.600,Ind,133,,IND,356,90,IND,297,36,IND
,159,Blaine Gabbert,QB,140.225,0.000,81.000,0.000,2015 SFO,2015 SFO,233.96,0.000,SF,130,,SFO,6,,SFO,12,,JAX
,53,Randall Cobb,WR,144.021,20.624,142.500,23.700,2014 GNB,2014 GNB,154.16,21.010,GB,124,,GNB,202,79,GNB,75,,GNB
,69,Golden Tate,WR,139.663,13.806,133.500,12.000,2014 DET,2014 DET,152.43,19.280,Det,121,,DET,162,39,DET,123,3,SEA
,134,Michael Floyd,WR,126.337,1.280,121.600,1.600,2013 ARI,2013 ARI,133.15,0.000,Ari,121,,ARI,118,,ARI,136,16,ARI
,26,Eddie Lacy,RB,169.720,38.342,162.700,41.400,2014 GNB,2014 GNB,184.58,37.110,GB,121,,GNB,231,111,GNB,208,81,GNB
,116,Thomas Rawls,RB,105.218,3.200,72.600,0.000,2015 SEA,2015 SEA,155.89,8.420,Sea,121,,SEA,,,,,,
,199,Martavis Bryant,WR,62.240,0.000,103.200,0.000,2015 PIT,2015 PIT,,,,120,,PIT,104,,PIT,,,
,169,T.J. Yeldon,RB,94.251,0.000,72.000,0.000,2015 JAX,2015 JAX,128.03,0.000,Jax,120,,JAX,,,,,,
,158,Brock Osweiler,QB,149.035,0.000,73.600,0.000,2015 DEN,2015 DEN,269.83,0.000,Hou,119,,DEN,6,,DEN,4,,DEN
,161,Isaiah Crowell,RB,107.817,0.000,105.300,0.000,2015 CLE,2015 CLE,117.15,0.000,Cle,119,,CLE,113,,CLE,,,
,126,LeGarrette Blount,RB,125.957,1.858,108.500,0.000,2013 NWE,2015 NWE,152.36,4.890,NE,117,,NWE,88,,2TM,119,,NWE
,112,Pierre Garcon,WR,108.002,3.760,114.200,4.700,2013 WAS,2013 WAS,93.90,0.000,Was,116,,WAS,93,,WAS,167,47,WAS
,60,C.J. Anderson,RB,137.958,18.480,123.100,17.400,2014 DEN,2014 DEN,171.68,24.210,Den,116,,DEN,177,58,DEN,4,,DEN
,175,Willie Snead,WR,89.038,0.000,69.600,0.000,2015 NOR,2015 NOR,118.31,0.000,NO,116,,NOR,,,,,,
,206,Charcandrick West,RB,58.588,0.000,67.800,0.000,2015 KAN,2015 KAN,41.18,0.000,KC,113,,KAN,,,,,,
,248,Karlos Williams,RB,42.940,0.000,67.800,0.000,2015 BUF,2015 BUF,,,,113,,BUF,,,,,,
,83,Julian Edelman,WR,132.881,10.284,121.800,5.400,2013 NWE,2013 NWE,150.74,17.590,NE,112,,NWE,133,9,NWE,147,27,NWE
,146,Colin Kaepernick,QB,118.143,0.240,168.900,0.300,2013 SFO,2013 SFO,37.64,0.000,SF,112,,SFO,251,,SFO,264,3,SFO
,130,Marvin Jones,WR,99.633,1.440,79.200,1.800,2013 CIN,2013 CIN,124.14,0.000,Det,109,,CIN,,,,138,18,CIN
,171,Markus Wheaton,WR,93.714,0.000,89.400,0.000,2015 PIT,2015 PIT,103.51,0.000,Pit,109,,PIT,78,,PIT,6,,PIT
,106,Donte Moncrief,WR,106.935,4.678,84.600,0.000,2015 IND,2015 IND,145.46,12.310,Ind,109,,IND,64,,IND,,,
,87,Ryan Mathews,RB,123.651,8.353,98.800,5.800,2013 SDG,2013 SDG,157.24,9.770,Phi,105,,PHI,58,,SDG,184,58,SDG
,30,Alshon Jeffery,WR,153.238,33.301,135.600,23.400,2013 CHI,2013 CHI,182.68,49.530,Chi,105,,CHI,177,53,CHI,195,75,CHI
,100,Anquan Boldin,WR,101.893,5.360,119.000,8.000,2013 SFO,2013 SFO,73.56,0.000,Det,103,,SFO,137,13,SFO,161,41,SFO
,172,Duke Johnson,RB,91.572,0.000,61.800,0.000,2015 CLE,2015 CLE,137.98,0.000,Cle,103,,CLE,,,,,,
,165,Terrance Williams,WR,99.184,0.000,104.400,0.000,2014 DAL,2015 DAL,91.22,0.000,Dal,102,,DAL,110,,DAL,102,,DAL
,178,Tyler Lockett,WR,86.237,0.000,61.200,0.000,2015 SEA,2015 SEA,124.94,0.000,Sea,102,,SEA,,,,,,
,95,Chris Johnson,RB,87.396,5.760,107.700,7.200,2013 TEN,2013 TEN,48.99,0.000,Ari,101,,ARI,91,,NYJ,198,72,TEN
,184,Jermaine Kearse,WR,79.620,0.000,85.500,0.000,2015 SEA,2015 SEA,69.58,0.000,Sea,101,,SEA,64,,SEA,57,,SEA
,196,Javorius Allen,RB,63.414,0.000,60.600,0.000,2015 BAL,2015 BAL,65.88,0.000,Bal,101,,BAL,,,,,,
,163,Shane Vereen,RB,100.882,0.000,103.400,0.000,2014 NWE,2015 NYG,98.11,0.000,NYG,100,,NYG,114,,NWE,92,,NWE
,174,Theo Riddick,RB,89.201,0.000,78.800,0.000,2015 DET,2015 DET,107.74,0.000,Det,99,,DET,61,,DET,11,,DET
,71,Keenan Allen,WR,124.975,12.238,102.500,2.900,2013 SDG,2013 SDG,159.25,26.100,SD,97,,SDG,98,,SDG,149,29,SDG
,193,Alfred Blue,RB,66.970,0.000,82.800,0.000,2015 HOU,2015 HOU,44.71,0.000,Hou,97,,HOU,82,,HOU,,,
,187,Stefon Diggs,WR,76.209,0.000,58.200,0.000,2015 MIN,2015 MIN,103.55,0.000,Min,97,,MIN,,,,,,
,142,Nick Foles,QB,76.800,0.400,119.900,0.500,2013 PHI,2013 PHI,,,,96,,STL,119,,PHI,266,5,PHI
,55,Peyton Manning,QB,119.300,19.760,192.300,29.400,2013 DEN,2013 DEN,,,,95,,DEN,313,47,DEN,414,153,DEN
,166,Darren Sproles,RB,97.301,0.000,99.000,0.000,2014 PHI,2015 PHI,94.95,0.000,Phi,95,,PHI,106,,PHI,102,,NOR
,261,Johnny Manziel,QB,38.020,0.000,60.600,0.000,2015 CLE,2015 CLE,,,,95,,CLE,12,,CLE,,,
,148,Matt Jones,RB,92.268,0.129,57.000,0.000,2015 WAS,2015 WAS,147.81,0.340,Was,95,,WAS,,,,,,
,70,Justin Forsett,RB,115.125,13.760,118.400,25.800,2014 BAL,2014 BAL,121.33,0.000,Bal,93,,BAL,205,86,BAL,11,,JAX
,107,Torrey Smith,WR,114.070,4.560,112.000,7.600,2014 BAL,2014 BAL,118.71,0.000,SF,92,,SFO,143,19,BAL,139,19,BAL
,180,Ameer Abdullah,RB,85.074,0.000,55.200,0.000,2015 DET,2015 DET,131.88,0.000,Det,92,,DET,,,,,,
,266,Matt Hasselbeck,QB,37.540,0.000,60.000,0.000,2015 IND,2015 IND,,,,91,,IND,17,,IND,3,,IND
,176,Rishard Matthews,WR,87.422,0.000,68.100,0.000,2015 MIA,2015 MIA,116.11,0.000,Ten,91,,MIA,26,,MIA,57,,MIA
,272,Antonio Andrews,RB,36.135,0.000,54.900,0.000,2015 TEN,2015 TEN,3.67,0.000,Ten,91,,TEN,1,,TEN,,,
,207,Nate Washington,WR,55.320,0.000,88.100,0.000,2013 TEN,2015 HOU,,,,90,,HOU,77,,TEN,110,,TEN
,181,Bilal Powell,RB,83.469,0.000,71.900,0.000,2013 NYJ,2015 NYJ,97.55,0.000,NYJ,88,,NYJ,29,,NYJ,104,,NYJ
,104,Jason Witten,TE,97.970,4.834,95.500,7.000,2013 DAL,2013 DAL,100.71,0.090,Dal,87,,DAL,100,10,DAL,133,40,DAL
,73,Alfred Morris,RB,92.898,11.760,120.400,19.900,2014 WAS,2014 WAS,49.89,0.000,Dal,87,,WAS,171,52,WAS,169,43,WAS
,25,Le'Veon Bell,RB,159.145,40.767,155.800,55.000,2014 PIT,2014 PIT,174.33,26.860,Pit,87,,PIT,288,168,PIT,172,46,PIT
,80,Joique Bell,RB,72.360,10.480,117.800,17.800,2014 DET,2014 DET,,,,86,,DET,166,47,DET,164,37,DET
,186,Kenny Britt,WR,76.344,0.000,80.800,0.000,2014 STL,2015 STL,73.22,0.000,LA,86,,STL,94,,STL,10,,TEN
,118,Steve Smith,WR,104.869,2.720,103.200,5.100,2014 BAL,2014 BAL,110.76,0.000,Bal,85,,BAL,141,17,BAL,99,,CAR
,209,Dion Lewis,RB,54.526,0.000,50.400,0.000,2015 NWE,2015 NWE,59.49,0.000,NE,84,,NWE,,,,,,
,188,Eric Ebron,TE,71.449,0.000,59.700,0.000,2015 DET,2015 DET,90.97,0.000,Det,84,,DET,31,,DET,,,
,224,Danny Amendola,WR,49.277,0.000,65.100,0.000,2015 NWE,2015 NWE,19.94,0.000,NE,83,,NWE,26,,NWE,75,,NWE
,194,James White,RB,66.350,0.000,51.600,0.000,2015 NWE,2015 NWE,89.08,0.000,NE,83,,NWE,6,,NWE,,,
,217,Dorial Green-Beckham,WR,51.471,0.000,48.600,0.000,2015 TEN,2015 TEN,54.45,0.000,Phi,81,,TEN,,,,,,
,15,Jamaal Charles,RB,166.639,51.080,141.800,45.500,2013 KAN,2013 KAN,205.26,57.790,KC,80,,KAN,210,91,KAN,308,182,KAN
,192,Kyle Rudolph,TE,67.364,0.000,63.400,0.000,2015 MIN,2015 MIN,72.22,0.000,Min,80,,MIN,35,,MIN,49,,MIN
,190,Cole Beasley,WR,69.787,0.000,71.500,0.000,2015 DAL,2015 DAL,67.23,0.000,Dal,80,,DAL,62,,DAL,49,,DAL
,210,Seth Roberts,WR,54.142,0.000,48.000,0.000,2015 OAK,2015 OAK,62.48,0.000,Oak,80,,OAK,,,,,,
,144,Marques Colston,WR,58.440,0.320,94.600,0.400,2013 NOR,2013 NOR,,,,78,,NOR,118,,NOR,124,4,NOR
,76,Julius Thomas,TE,100.847,11.131,98.200,15.100,2013 DEN,2013 DEN,104.65,4.030,Jax,78,,JAX,121,31,DEN,151,58,DEN
,216,Spencer Ware,RB,51.665,0.000,46.300,0.000,2015 KAN,2015 KAN,58.75,0.000,KC,77,,KAN,,,,1,,SEA
,109,Andre Johnson,WR,65.779,4.080,94.500,5.100,2013 HOU,2013 HOU,16.47,0.000,Ten,76,,IND,106,,HOU,171,51,HOU
,58,Jimmy Graham,TE,107.376,18.720,110.300,28.900,2013 NOR,2013 NOR,100.62,0.000,Sea,75,,SEA,145,55,NOR,218,124,NOR
,79,DeSean Jackson,WR,112.010,10.560,110.300,16.200,2013 PHI,2013 PHI,114.71,0.000,Was,75,,WAS,154,30,WAS,191,72,PHI
,201,Jamison Crowder,WR,60.815,0.000,45.000,0.000,2015 WAS,2015 WAS,85.04,0.000,Was,75,,WAS,,,,,,
,195,Devin Funchess,WR,64.782,0.000,45.000,0.000,2015 CAR,2015 CAR,95.48,0.000,Car,75,,CAR,,,,,,
,127,Melvin Gordon,RB,86.127,1.588,45.000,0.000,2015 SDG,2015 SDG,151.65,4.180,SD,75,,SDG,,,,,,
,229,Tim Hightower,RB,48.651,0.000,44.400,0.000,2015 NOR,2015 NOR,54.03,0.000,NO,74,,NOR,,,,,,
,113,Vincent Jackson,WR,105.873,3.600,93.800,4.500,2013 TAM,2013 TAM,123.77,0.000,TB,74,,TAM,110,,TAM,164,45,TAM
,197,Zach Miller,TE,63.217,0.000,44.400,0.000,2015 CHI,2015 CHI,92.36,0.000,Chi,74,,CHI,,,,,,
,232,Corey Brown,WR,48.055,0.000,58.500,0.000,2015 CAR,2015 CAR,32.83,0.000,Car,73,,CAR,49,,CAR,,,
,231,Malcom Floyd,WR,48.080,0.000,81.300,0.000,2014 SDG,2015 SDG,,,,72,,SDG,122,,SDG,15,,SDG
,208,Jacob Tamme,TE,54.938,0.000,51.900,0.000,2015 ATL,2015 ATL,58.68,0.000,Atl,72,,ATL,21,,DEN,24,,DEN
,305,Ryan Mallett,QB,30.180,0.000,48.600,0.000,2015 2TM,2015 2TM,,,,71,,2TM,20,,HOU,,,
,123,Charles Clay,TE,85.153,2.080,78.200,2.600,2013 MIA,2013 MIA,94.77,0.000,Buf,71,,BUF,79,,MIA,119,26,MIA
,230,Ladarius Green,TE,48.106,0.000,55.100,0.000,2015 SDG,2015 SDG,34.12,0.000,Pit,71,,SDG,23,,SDG,56,,SDG
,183,Robert Woods,WR,80.418,0.000,80.600,0.000,2014 BUF,2015 BUF,81.68,0.000,Buf,71,,BUF,100,,BUF,80,,BUF
,250,Owen Daniels,TE,42.360,0.000,69.400,0.000,2014 BAL,2015 DEN,,,,70,,DEN,77,,BAL,43,,HOU
,33,Marshawn Lynch,RB,88.120,32.400,145.400,55.100,2014 SEA,2014 SEA,,,,70,,SEA,265,146,SEA,239,113,SEA
,82,Carlos Hyde,RB,102.902,10.344,60.600,0.000,2015 SFO,2015 SFO,174.69,27.220,SF,70,,SFO,62,,SFO,,,
,61,Coby Fleener,TE,102.995,17.019,87.800,10.500,2014 IND,2014 IND,130.67,30.050,NO,69,,IND,125,35,IND,89,,IND
,189,DeVante Parker,WR,70.460,0.000,41.400,0.000,2015 MIA,2015 MIA,116.42,0.000,Mia,69,,MIA,,,,,,
,238,Jerricho Cotchery,WR,46.000,0.000,72.600,0.000,2013 PIT,2015 CAR,,,,68,,CAR,66,,CAR,120,,PIT
,251,Steve Johnson,WR,42.080,0.000,67.300,0.000,2013 BUF,2015 SDG,,,,68,,SDG,62,,SFO,79,,BUF
,138,Heath Miller,TE,45.920,0.640,75.300,1.200,2014 PIT,2014 PIT,,,,68,,PIT,94,4,PIT,63,,PIT
,212,Cecil Shorts,WR,52.528,0.000,70.500,0.000,2013 JAX,2015 HOU,21.81,0.000,Hou,68,,HOU,67,,JAX,96,,JAX
,262,Matt Cassel,QB,37.940,0.000,58.100,0.000,2013 MIN,2015 2TM,,,,67,,2TM,23,,MIN,110,,MIN
,211,Mike Tolbert,RB,53.918,0.000,55.000,0.000,2013 CAR,2015 CAR,47.31,0.000,Car,67,,CAR,17,,CAR,97,,CAR
,276,Brandon Weeden,QB,35.480,0.000,54.600,0.000,2013 CLE,2015 2TM,,,,66,,2TM,20,,DAL,90,,CLE
,268,Dwayne Harris,WR,36.711,0.000,43.300,0.000,2015 NYG,2015 NYG,24.24,0.000,NYG,65,,NYG,8,,DAL,19,,DAL
,278,Dontrelle Inman,WR,35.301,0.000,43.800,0.000,2015 SDG,2015 SDG,21.16,0.000,SD,65,,SDG,16,,SDG,,,
,234,Crockett Gillmore,TE,47.530,0.000,44.400,0.000,2015 BAL,2015 BAL,52.50,0.000,Bal,65,,BAL,18,,BAL,,,
,141,Brian Hartline,WR,43.840,0.480,68.700,0.600,2013 MIA,2013 MIA,,,,64,,CLE,59,,MIA,126,6,MIA
,279,Joseph Randle,RB,35.280,0.000,57.200,0.000,2015 DAL,2015 DAL,,,,64,,DAL,51,,DAL,35,,DAL
,89,Martellus Bennett,TE,90.859,7.440,87.200,13.400,2014 CHI,2014 CHI,99.63,0.000,NE,62,,CHI,132,41,CHI,104,11,CHI
,292,Jonathan Grimes,RB,32.013,0.000,46.300,0.000,2015 HOU,2015 HOU,8.14,0.000,Hou,62,,HOU,24,,HOU,19,,HOU
,182,Kenny Stills,WR,81.737,0.000,80.000,0.000,2014 NOR,2015 MIA,86.36,0.000,Mia,62,,MIA,111,,NOR,95,,NOR
,191,Jerick McKinnon,RB,69.004,0.000,57.300,0.000,2014 MIN,2015 MIN,91.38,0.000,Min,62,,MIN,67,,MIN,,,
,241,Will Tye,TE,45.744,0.000,37.200,0.000,2015 NYG,2015 NYG,58.38,0.000,NYG,62,,NYG,,,,,,
,243,Dexter McCluster,RB,44.685,0.000,54.100,0.000,2013 KAN,2015 TEN,27.54,0.000,Ten,61,,TEN,37,,TEN,64,,KAN
,185,Kendall Wright,WR,77.094,0.000,81.900,0.000,2013 TEN,2015 TEN,69.88,0.000,Ten,61,,TEN,111,,TEN,120,,TEN
,108,Mike Wallace,WR,84.839,4.320,92.600,7.700,2014 MIA,2014 MIA,74.84,0.000,Bal,60,,MIN,146,23,MIA,128,8,MIA
,125,Andre Ellington,RB,71.370,1.920,88.200,3.600,2014 ARI,2014 ARI,45.71,0.000,Ari,60,,ARI,132,12,ARI,126,,ARI
,237,Albert Wilson,WR,46.340,0.000,43.800,0.000,2015 KAN,2015 KAN,51.00,0.000,KC,60,,KAN,26,,KAN,,,
,179,Mohamed Sanu,WR,85.720,0.000,78.100,0.000,2014 CIN,2015 CIN,102.58,0.000,Atl,59,,CIN,123,,CIN,58,,CIN
,22,Dez Bryant,WR,144.817,42.980,123.500,39.900,2014 DAL,2014 DAL,184.36,51.210,Dal,58,,DAL,228,105,DAL,203,84,DAL
,221,Brent Celek,TE,50.686,0.000,54.600,0.000,2013 PHI,2015 PHI,41.70,0.000,Phi,58,,PHI,38,,PHI,84,,PHI
,202,Chris Hogan,WR,60.314,0.000,54.500,0.000,2014 BUF,2015 BUF,72.51,0.000,NE,58,,BUF,63,,BUF,8,,BUF
,227,Chris Thompson,RB,48.807,0.000,37.800,0.000,2015 WAS,2015 WAS,66.23,0.000,Was,58,,WAS,10,,WAS,,,WAS
,200,Davante Adams,WR,61.304,0.000,53.700,0.000,2014 GNB,2015 GNB,76.80,0.000,GB,58,,GNB,63,,GNB,,,
,213,Austin Seferian-Jenkins,TE,52.517,0.000,44.400,0.000,2015 TAM,2015 TAM,66.73,0.000,TB,58,,TAM,32,,TAM,,,
,131,Roddy White,WR,49.740,1.440,82.500,2.700,2014 ATL,2014 ATL,,,,57,,ATL,132,9,ATL,87,,ATL
,115,Jordan Cameron,TE,75.805,3.280,63.800,4.100,2013 CLE,2013 CLE,91.54,0.000,Mia,57,,MIA,54,,CLE,134,41,CLE
,324,Brandon Coleman,WR,26.140,0.000,34.200,0.000,2015 NOR,2015 NOR,11.79,0.000,NO,57,,NOR,,,,,,
,299,Lance Moore,WR,31.200,0.000,49.400,0.000,2015 DET,2015 DET,,,,56,,DET,34,,PIT,56,,NOR
,302,Chris Polk,RB,31.040,0.000,50.100,0.000,2015 HOU,2015 HOU,,,,56,,HOU,43,,PHI,36,,PHI
,308,Kyle Juszczyk,RB,29.895,0.000,39.600,0.000,2015 BAL,2015 BAL,14.25,0.000,Bal,56,,BAL,20,,BAL,,,BAL
,59,Arian Foster,RB,116.958,18.560,112.500,34.800,2014 HOU,2014 HOU,135.10,0.000,Mia,55,,HOU,236,116,HOU,87,,HOU
,354,A.J. McCarron,QB,20.900,0.000,33.000,0.000,2015 CIN,2015 CIN,,,,55,,CIN,,,,,,
,240,Khiry Robinson,RB,45.868,0.000,52.300,0.000,2014 NOR,2015 NOR,36.81,0.000,NYJ,54,,NOR,57,,NOR,28,,NOR
,222,Clive Walford,TE,50.586,0.000,31.800,0.000,2015 OAK,2015 OAK,80.12,0.000,Oak,53,,OAK,,,,,,
,124,Brandon LaFell,WR,74.595,2.080,81.700,3.900,2014 NWE,2014 NWE,66.83,0.000,Cin,52,,NWE,137,13,NWE,94,,CAR
,304,Marquess Wilson,WR,30.461,0.000,37.300,0.000,2015 CHI,2015 CHI,19.53,0.000,Chi,52,,CHI,20,,CHI,1,,CHI
,247,Harry Douglas,WR,43.192,0.000,63.100,0.000,2013 ATL,2015 TEN,8.98,0.000,Ten,51,,TEN,70,,ATL,115,,ATL
,336,Leonard Hankerson,WR,23.860,0.000,36.200,0.000,2013 WAS,2015 3TM,,,,51,,3TM,,,WAS,56,,WAS
,242,Shaun Draughn,RB,44.905,0.000,31.200,0.000,2015 2TM,2015 2TM,66.33,0.000,SF,51,,2TM,2,,3TM,,,BAL
,321,Brandon Bolden,RB,26.740,0.000,41.400,0.000,2013 NWE,2015 NWE,,,,51,,NWE,16,,NWE,60,,NWE
,239,Vance McDonald,TE,45.926,0.000,32.100,0.000,2015 SFO,2015 SFO,66.91,0.000,SF,51,,SFO,1,,SFO,12,,SFO
,273,Scott Chandler,TE,35.960,0.000,58.000,0.000,2013 BUF,2015 NWE,,,,50,,NWE,68,,BUF,76,,BUF
