196,Vance McDonald\McDoVa00,SFO,TE,26,11,11,0,0,0,0,0,0,0,,0,45,24,391,16.29,4,63,90.1,75.1,,25,
197,Thomas Rawls\RawlTh00,SEA,RB,23,9,7,0,0,0,0,0,109,349,3.20,3,17,13,96,7.38,0,63,78.5,69.0,,55,
198,Cordarrelle Patterson*+\PattCo00,MIN,WR,25,16,8,0,0,0,0,0,7,43,6.14,0,70,52,453,8.71,2,62,122.6,93.6,,83,
199,Paul Perkins\PerkPa00,NYG,RB,22,14,1,0,0,0,0,0,112,456,4.07,0,24,15,162,10.80,0,62,82.8,69.3,,56,
200,Marquise Goodwin\GoodMa00,BUF,WR,26,15,9,0,0,0,0,0,0,0,,0,68,29,431,14.86,3,61,93.1,75.6,,84,
201,Kendall Wright\WrigKe01,TEN,WR,27,11,4,0,0,0,0,0,1,15,15.00,0,42,29,416,14.34,3,61,93.1,75.6,,85,
202,Corey Coleman\ColeCo00,CLE,WR,22,10,10,0,0,0,0,0,2,10,5.00,0,73,33,413,12.52,3,60,96.3,76.8,,86,
203,Lance Kendricks\KendLa00,LAR,TE,28,16,16,0,0,0,0,0,0,0,,0,87,50,499,9.98,2,60,113.9,84.9,,26,
204,Rex Burkhead\BurkRe00,CIN,RB,26,16,1,0,0,0,0,0,74,344,4.65,2,20,17,145,8.53,0,59,82.9,67.4,,57,
205,Sammie Coates\CoatSa00,PIT,WR,23,14,5,0,0,0,0,0,4,14,3.50,0,49,21,435,20.71,2,57,80.9,67.4,,88,
206,Jermaine Kearse\KearJe01,SEA,WR,26,16,15,0,0,0,0,0,0,0,,0,89,41,510,12.44,1,57,101.0,77.5,,87,
207,Matt Moore\MoorMa01,MIA,QB,32,4,3,55,87,721,8,3,1,-1,-1.00,0,0,0,0,,0,57,60.7,57.7,,36,
208,Jesse James\JameJe00,PIT,TE,22,16,13,0,0,0,0,0,0,0,,0,60,39,338,8.67,3,56,93.8,71.3,,27,
209,Sammy Watkins\WatkSa00,BUF,WR,23,8,8,0,0,0,0,0,0,0,,0,52,28,430,15.36,2,55,86.0,69.0,,89,
210,Travaris Cadet\CadeTr00,NOR,RB,27,15,1,0,0,0,0,0,4,19,4.75,0,54,40,281,7.03,4,54,97.0,74.0,,59,
211,Ryan Griffin\GrifRy00,HOU,TE,26,16,5,0,0,0,0,0,0,0,,0,74,50,442,8.84,2,54,108.2,79.2,,28,
212,Jeremy Langford\LangJe00,CHI,RB,25,12,3,0,0,0,0,0,62,200,3.23,4,27,19,142,7.47,0,54,81.2,63.7,,58,
213,Clive Walford\WalfCl00,OAK,WR,25,15,8,0,0,0,0,0,0,0,,0,52,33,359,10.88,3,54,89.9,70.4,,90,
214,Chris Conley\ConlCh00,KAN,WR,24,16,11,0,0,0,0,0,0,0,,0,69,44,530,12.05,0,53,100.0,75.0,,91,
215,Jared Goff\GoffJa00,LAR,QB,22,7,7,112,205,1089,5,7,8,16,2.00,1,0,0,0,,0,53,65.2,60.2,,37,
216,Nelson Agholor\AghoNe00,PHI,WR,23,15,14,0,0,0,0,0,5,14,2.80,0,69,36,365,10.14,2,52,90.9,69.9,,92,
217,Josh McCown\McCoJo01,CLE,QB,37,5,3,90,165,1100,6,6,7,21,3.00,0,0,0,0,,0,52,65.1,58.1,,38,
218,Julius Thomas\ThomJu00,JAX,TE,28,9,6,0,0,0,0,0,0,0,,0,51,30,281,9.37,4,52,85.1,67.1,,29,
219,Garrett Celek\CeleGa00,SFO,TE,28,16,6,0,0,0,0,0,0,0,,0,50,29,350,12.07,3,51,84.0,65.5,,31,
220,Dorial Green-Beckham\GreeDo00,PHI,WR,23,15,7,0,0,0,0,0,0,0,,0,74,36,392,10.89,2,51,90.2,69.2,,93,
221,Jermaine Gresham\GresJe00,ARI,TE,28,16,14,0,0,0,0,0,0,0,,0,61,37,391,10.57,2,51,91.1,69.6,,30,
222,Albert Wilson\WilsAl02,KAN,WR,24,16,5,0,0,0,0,0,2,50,25.00,1,51,31,279,9.00,2,51,84.9,66.4,,94,
223,Alfred Blue\BlueAl00,HOU,RB,25,14,2,0,0,0,0,0,100,420,4.20,1,16,12,40,3.33,0,50,66.0,56.0,,60,
224,Andrew Hawkins\HawkAn00,CLE,WR,30,16,5,0,0,0,0,0,2,0,0.00,0,54,33,324,9.82,3,50,86.4,66.9,,95,
225,Dion Sims\SimsDi00,MIA,TE,25,14,11,0,0,0,0,0,0,0,,0,35,26,256,9.85,4,50,78.6,62.6,,32,
226,Eddie Royal\RoyaEd00,CHI,WR,30,9,1,0,0,0,0,0,0,0,,0,43,33,369,11.18,2,49,90.9,71.4,,96,
227,Danny Amendola\AmenDa00,NWE,WR,31,12,4,0,0,0,0,0,0,0,,0,29,23,243,10.57,4,48,73.3,57.8,,97,
228,Jay Cutler\CutlJa00,CHI,QB,33,5,5,81,137,1059,4,5,5,24,4.80,0,0,0,0,,0,47,56.8,51.8,,39,
229,Austin Hooper\HoopAu00,ATL,TE,22,14,3,0,0,0,0,0,0,0,,0,27,19,271,14.26,3,47,67.1,54.6,,33,
230,Russell Shepard\ShepRu00,TAM,WR,26,14,4,0,0,0,0,0,1,9,9.00,0,40,23,341,14.83,2,47,73.0,58.5,,98,
231,Fozzy Whittaker\WhitFo00,CAR,RB,27,16,0,0,0,0,0,0,57,265,4.65,0,33,25,226,9.04,0,47,79.1,59.6,,61,
232,Brandon Coleman\ColeBr00,NOR,WR,24,16,4,0,0,0,0,0,0,0,,0,38,26,281,10.81,3,46,75.1,59.1,,99,
233,Will Tye\TyexWi00,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,70,48,395,8.23,1,46,96.5,69.5,,34,
234,Jamize Olawale\OlawJa00,OAK,RB,27,16,7,0,0,0,0,0,17,47,2.76,2,14,12,227,18.92,1,45,60.4,51.4,,62,
