Tom Brady NE,QB,Sun 7:30 pm @ Ari,All A'Bortles,12.0,9,237.31,98%,27,,3443,24.6,8.5,26.7,37.6,0.6,0.0,0.0,0.0,0.0,0.0,0.7,3.3 
Blaine Gabbert SF,QB,Mon 9:20 pm vs LA,FA,16.0,8,233.96,3%,28,,3498,17.3,11.8,52.4,235,1.8,0.0,0.0,0.0,0.0,0.0,0.5,4.2 
Adrian Peterson Min,RB,Sun 12:00 pm @ Ten,SlobOnMyCobb,16.0,6,231.56,100%,31,,0.0,0.0,0.0,313,1428,10.4,30.8,27.6,200,0.8,0.0,0.3,2.3 
Sam Bradford Phi,QB,Sun 12:00 pm vs Cle,FA,16.0,4,230.29,8%,29,,3648,22.3,13.1,18.3,26.9,0.5,0.0,0.0,0.0,0.0,0.0,0.6,3.6 
David Johnson Ari,RB,Sun 7:30 pm vs NE,TexasSucks,16.0,9,229.82,100%,30,,0.0,0.0,0.0,265,1114,7.7,72.3,49.4,511,3.3,0.0,0.3,2.2 
Julio Jones Atl,WR,Sun 12:00 pm vs TB,Björk'sPlatnumAlbum,16.0,11,226.16,100%,32,,0.0,0.0,0.0,0.0,0.0,0.0,183,127,1765,8.2,0.0,0.2,1.0 
Todd Gurley LA,RB,Mon 9:20 pm @ SF,Björk'sPlatnumAlbum,16.0,8,223.68,100%,33,,0.0,0.0,0.0,313,1354,9.2,41.4,32.7,257,1.0,0.0,0.3,2.4 
Odell Beckham Jr. NYG,WR,Sun 3:25 pm @ Dal,T.M.N. Bortles,16.0,8,211.50,100%,34,,0.0,0.0,0.0,0.0,0.0,0.0,162,101,1518,9.8,0.0,0.2,0.7 
Lamar Miller Hou,RB,Sun 12:00 pm vs Chi,A Little Willly Pete,16.0,9,207.57,100%,35,,0.0,0.0,0.0,268,1189,7.0,52.2,44.9,346,1.8,0.0,0.2,2.0 
Ezekiel Elliott Dal,RB,Sun 3:25 pm vs NYG,FA,16.0,7,205.56,100%,36,,0.0,0.0,0.0,247,1036,7.8,57.7,45.9,386,2.6,0.0,0.3,2.0 
Jamaal Charles KC,RB,Sun 12:00 pm vs SD,Björk'sPlatnumAlbum,16.0,5,205.26,100%,37,,0.0,0.0,0.0,227,1126,7.5,58.3,44.4,346,2.0,0.0,0.3,1.9 
Devonta Freeman Atl,RB,Sun 12:00 pm vs TB,Le'Veon a Prayer,16.0,11,205.25,100%,38,,0.0,0.0,0.0,226,909,6.2,91.4,71.2,587,2.9,0.0,0.2,2.3 
Shaun Hill Min,QB,Sun 12:00 pm @ Ten,FA,16.0,6,201.68,1%,98,,3253,17.1,10.1,17.7,71.5,0.6,0.0,0.0,0.0,0.0,0.0,0.5,3.7 
LeSean McCoy Buf,RB,Sun 12:00 pm @ Bal,Chaz's Crazy Team,16.0,10,200.31,99%,39,,0.0,0.0,0.0,258,1057,8.1,56.3,39.2,324,2.0,0.0,0.3,2.0 
Mark Ingram NO,RB,Sun 12:00 pm vs Oak,FA,16.0,5,197.06,100%,40,,0.0,0.0,0.0,238,976,7.3,54.0,46.2,414,2.2,0.0,0.3,2.2 
DeAndre Hopkins Hou,WR,Sun 12:00 pm vs Chi,All A'Bortles,16.0,9,192.62,100%,41,,0.0,0.0,0.0,0.0,0.0,0.0,167,99.7,1392,8.8,0.0,0.2,0.6 
Doug Martin TB,RB,Sun 12:00 pm @ Atl,A Little Willly Pete,16.0,6,190.41,100%,42,,0.0,0.0,0.0,271,1159,7.0,35.1,27.7,243,1.2,0.0,0.2,2.1 
A.J. Green Cin,WR,Sun 12:00 pm @ NYJ,A Little Willly Pete,16.0,9,185.60,100%,43,,0.0,0.0,0.0,0.0,0.0,0.0,131,90.7,1357,8.2,0.0,0.2,0.6 
Eddie Lacy GB,RB,Sun 12:00 pm @ Jax,A Little Willly Pete,16.0,4,184.58,100%,44,,0.0,0.0,0.0,240,1053,7.6,36.9,29.0,240,1.4,0.0,0.2,1.7 
Dez Bryant Dal,WR,Sun 3:25 pm vs NYG,Le'Veon a Prayer,16.0,7,184.36,100%,45,,0.0,0.0,0.0,0.0,0.0,0.0,145,89.6,1287,9.2,0.0,0.2,0.6 
